"",weight,の良い,が良い,が良く,が悪い,も良く,が良いです,は良いです,は良いと,がいいです,もよく,がいい,が良いと,のよい,を考えると,がよく,も良いと,はありません,の取れた,がよい,も良いです,は良好です,は思います,が良いので,はいいと,のとれた,が悪いと,は良い,の高い,はいいです,が悪く,は良く,がいいと,が高い,もいいです,も良い,を考えれば,が悪いです,の悪い,もいい,がいいので
weight,"",0.00040245669590686,0.000243443127248279,0.000166286867431295,0.000142934704429513,0.0001388476894094,0.000124275307111871,0.000124193459919311,0.000116209250028675,0.000105123265895551,9.56287130195092e-05,9.04109879747249e-05,8.77434598186006e-05,8.22262418531928e-05,7.52154933309554e-05,7.51413521657684e-05,7.33550986695595e-05,7.19963873717731e-05,6.70000546017568e-05,6.47650280137241e-05,6.22173002488712e-05,5.84068220526244e-05,5.64438507593455e-05,5.41481145640927e-05,5.36954033728964e-05,4.71481865716067e-05,4.48618274043002e-05,4.47120109208524e-05,4.34362838000893e-05,4.32356399478697e-05,4.26384601443494e-05,4.17360397318545e-05,3.81273240618213e-05,3.79912901544089e-05,3.76337706722494e-05,3.66010465773321e-05,3.53742645074052e-05,3.49946980215416e-05,3.38176823927415e-05,3.18427913103918e-05,3.00329352184142e-05
バランス,0.000526622441278308,20,14,10,6,6,7,5,8,3,5,4,9,6,8,5,11,0,27,3,4,3,0,2,4,19,4,2,2,0,2,3,4,2,0,1,5,2,0,2,0
画質,0.000356718986869993,2,24,6,12,14,6,13,19,6,11,9,13,1,2,1,6,18,0,1,5,2,28,5,11,0,4,7,0,11,0,7,1,0,9,10,2,4,2,4,1
使い勝手,0.000296915396347401,12,17,10,7,4,15,10,5,12,4,1,6,5,4,5,1,4,0,6,1,5,1,3,3,0,1,1,0,3,1,1,3,0,1,1,0,2,0,1,1
操作性,0.000217723484417531,4,4,8,6,12,4,6,10,3,5,1,2,0,3,3,6,11,0,2,9,6,11,2,9,0,0,2,0,4,0,2,0,3,3,8,1,2,1,5,2
持ち,0.000197513346219216,0,22,0,30,0,4,5,6,1,0,9,2,0,0,1,0,7,0,6,0,0,0,2,0,0,5,3,0,1,6,2,1,0,0,0,0,9,0,0,6
携帯性,0.0001820713537122,11,6,2,3,12,5,3,12,1,6,1,1,0,3,0,2,11,0,3,2,3,12,1,0,0,2,3,0,10,2,4,1,1,1,1,3,1,0,0,5
ホールド感,0.000143165990246894,3,3,5,5,6,2,14,4,1,5,1,1,0,0,1,0,9,0,0,4,9,4,3,0,0,0,7,0,2,3,1,1,1,3,1,1,0,0,3,1
写り,0.000114968394219035,7,4,4,2,4,1,4,5,1,1,5,2,1,0,0,2,6,0,0,0,1,4,1,2,0,1,3,0,7,0,2,1,0,0,2,2,0,0,3,2
気持ち,0.000103978106033454,13,7,0,0,0,2,0,0,9,0,9,0,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
