"",weight,の良い,が良い,の高い,が良く,が悪い,も良く,は良いです,は良いと,が良いです,はありません,がいいです,もよく,が高い,がいい,が良いと,を考えると,のよい,がよく,も良いと,は思います,がよい,も良いです,は高いです,は良好です,の取れた,は高いと,はいいと,が良いので,はいいです,は良い,に優れた,が悪いと,もいいです,は良く,が悪く,は最高です,も良い,のとれた,を考えれば,がいいと,が高いです,もいい,が悪いです,もありません,が高く,がいいので,の悪い,があり,があります,は抜群です,は感じです,が良くて,も高く,も良いので,はいいですね,はあります,も良好です,がよいです,は高い,はありますが,はありませんが,がいいですね,はします,になります,が感じます,は悪いです,のある,も満足しています,はしました,が良くない
weight,"",0.00102192114691167,0.000658479890409622,0.00052116329876684,0.000440216619189915,0.000406348659249934,0.000404285876942959,0.000382021958830436,0.000346146220125301,0.000337747154986389,0.000303261275852129,0.00028645022717272,0.000273543876973387,0.000268908616288806,0.000251035463439094,0.000232471316993691,0.000232408535957642,0.000214473117555997,0.00020159311611405,0.000198624065338198,0.000191043314478034,0.000186986286996206,0.000182475360568603,0.00017851933657426,0.000163854108429682,0.000159010761183642,0.000153444627216438,0.000152787425781633,0.000150655901685149,0.000138051196774177,0.000129926952818004,0.000126156131231286,0.000125160799816981,0.000119837356612192,0.000119302742197336,0.00011749083671143,0.000113604391564772,0.000113055585992036,0.000111896461573674,0.000108791993563227,0.000103102571359823,9.88992880727305e-05,9.79976522004032e-05,9.73207491797183e-05,9.41561849495202e-05,9.2882399972559e-05,9.08616165438971e-05,8.73383552328503e-05,8.65881632928703e-05,8.28512709591655e-05,8.26246829086135e-05,8.22474640229153e-05,8.08870006913574e-05,8.07431690218142e-05,7.84545377081895e-05,7.74560466230508e-05,7.5767385990924e-05,7.33138668496351e-05,7.23403642289724e-05,7.04232350284079e-05,6.98957792693673e-05,6.98710141501313e-05,6.90058294296927e-05,6.72617535835129e-05,6.70418739339154e-05,6.67401610290946e-05,6.56083339341337e-05,6.47718072514045e-05,6.3955674611017e-05,5.95450132627712e-05,5.87843579644101e-05
バランス,0.00141234448315715,20,14,2,10,6,6,5,8,7,0,3,5,2,4,9,8,6,5,11,0,3,4,0,3,27,0,4,2,0,2,0,4,0,3,2,0,1,19,5,4,1,2,2,0,0,0,0,0,0,1,0,1,0,3,2,0,0,0,0,0,0,1,1,1,3,1,0,1,0,1
画質,0.00114559338398343,2,24,0,6,12,14,13,19,6,18,6,11,0,9,13,2,1,1,6,28,1,5,0,2,0,0,11,5,11,7,1,4,9,7,0,7,10,0,2,1,0,4,4,6,0,1,2,1,1,1,2,2,0,0,2,6,2,0,0,9,4,1,7,5,0,3,0,11,3,1
使い勝手,0.000888622101824703,12,17,0,10,7,4,10,5,15,4,12,4,0,1,6,4,5,5,1,1,6,1,0,5,0,0,3,3,3,1,0,1,1,1,1,2,1,0,0,3,0,1,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,5,0,0,0,4,0,0,1,0,0,0,0,1
操作性,0.000723254080151941,4,4,0,8,6,12,6,10,4,11,3,5,3,1,2,3,0,3,6,11,2,9,1,6,0,0,9,2,4,2,2,0,3,2,0,1,8,0,1,0,0,5,2,1,1,2,1,1,0,6,3,0,0,1,1,1,3,1,0,3,1,1,0,0,0,3,0,2,5,1
携帯性,0.000637614637572967,11,6,0,2,3,12,3,12,5,11,1,6,1,1,1,3,0,0,2,12,3,2,0,3,0,0,0,1,10,3,5,2,1,4,2,1,1,0,3,1,0,0,1,1,0,5,0,0,0,17,2,1,1,1,0,1,0,0,0,0,7,0,0,0,0,5,0,0,4,0
持ち,0.000628814612730866,0,22,0,0,30,0,5,6,4,7,1,0,0,9,2,0,0,1,0,0,6,0,0,0,0,0,0,2,1,3,0,5,0,2,6,1,0,0,0,1,0,0,9,0,0,6,0,0,0,1,2,1,0,0,2,0,0,1,0,1,1,0,2,0,1,5,0,0,0,5
コストパフォーマンス,0.000608952276097264,5,5,36,1,0,1,4,8,0,0,0,1,14,1,2,10,0,0,2,2,3,0,4,0,0,24,1,0,1,0,33,0,0,0,0,9,0,0,3,0,4,1,0,0,4,1,0,0,0,2,0,0,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ホールド感,0.000514937611287629,3,3,0,5,5,6,14,4,2,9,1,5,1,1,1,0,0,1,0,4,0,4,1,9,0,0,0,3,2,7,0,0,3,1,3,0,1,0,1,1,0,3,0,5,1,1,0,2,1,4,3,1,0,4,0,3,2,1,0,0,2,0,3,0,1,1,0,2,2,2
満足度,0.000442477979136676,0,0,45,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,68,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,2,0,0,0,0,0,11,0
質感,0.000417446787199871,1,4,5,5,1,5,4,4,2,2,1,2,9,4,1,0,0,1,3,2,1,2,2,1,0,2,2,0,5,0,0,0,5,0,0,4,6,0,0,0,2,0,0,0,6,0,0,4,3,0,4,1,4,0,1,6,2,0,2,3,1,2,1,0,1,0,2,1,0,0
写り,0.000372656746962462,7,4,0,4,2,4,4,5,1,6,1,1,0,5,2,0,1,0,2,4,0,0,0,1,0,0,2,1,7,3,0,1,0,2,0,4,2,0,2,1,0,3,0,8,0,2,0,0,0,0,1,2,1,0,4,1,0,0,0,1,0,0,2,3,0,0,0,1,0,0
デザイン,0.000324353539551524,1,7,0,3,0,7,2,11,2,0,0,1,0,1,1,0,0,1,4,11,1,2,0,1,0,0,6,2,3,2,0,0,3,0,0,2,2,0,0,1,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,4,2,4,3,1,0,0,1,1,1,0
気持ち,0.000301506782715195,13,7,0,0,0,0,0,0,2,1,9,0,0,9,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,1
評判,0.000236972622215078,14,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
レスポンス,0.000229817707407445,2,8,0,6,6,6,1,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,0.000211897075153835,5,1,0,1,1,1,10,2,0,8,0,0,0,1,2,0,0,0,0,6,0,0,1,0,0,1,3,0,4,1,0,0,0,1,0,0,1,0,0,1,0,3,0,1,0,0,2,5,0,0,1,1,0,0,1,4,0,0,1,2,2,2,6,3,1,0,0,0,2,0
性能,0.000198545584105026,5,2,1,0,0,3,0,3,0,1,0,0,2,2,1,12,0,0,0,4,4,0,1,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,2,0,1,2,0,0,0,3,0,0,0,0,1,1,1,0,1,0,0,0,0,0
発色,0.00019718011715386,1,0,0,3,2,3,2,0,0,1,0,6,0,3,0,0,1,1,0,2,0,4,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,4,0,1
完成度,0.000196489276035403,0,0,37,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
描写,0.000188953460571151,2,0,0,1,0,6,5,0,0,4,1,0,0,1,4,1,0,0,0,5,0,3,1,0,0,0,0,2,0,1,1,0,1,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,5,1,0,0,1,0,0,1,7,0,0,0,0,0,0
不満,0.000171244337226947,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,14,22,0,0,0,0,0,0,4,0,0,0,17,26,0,0,1,0,0,2,0,0,0
