"",weight,の良い,が良い,の高い,が悪い,が良く,も良く,は良いです,は良いと,が良いです,はありません,が高い,がいいです,もよく,がいい,を考えると,が良いと,は高いです,がよく,は思います,のよい,も良いと,がよい,の取れた,も良いです,は高いと,は良好です,はいいと,が良いので,に優れた,はいいです,は良い,が悪いと,もいいです,は良く,が悪く,は最高です,も良い,が高いです,のとれた,を考えれば,が弱いです,がいいと,が悪いです,もいい,が高く,もありません,がいいので,も良いので,があり,は感じです,があります,も高く,は抜群です,は高い,の悪い,はあります,が良くて,はいいですね,も良好です,はありませんが,はありますが,は悪いです,はしました,が高いと,はします,がよいです,がいいですね,も満足しています,が高いので,になります,が感じます,のある,が良くない,はよいです,といい,にありません,もなく,は良いのですが,が悪いので,をする
weight,"",0.00136764484891437,0.000931432957279025,0.000818927254996376,0.000715202119136481,0.000617955419751107,0.000561253557635405,0.000534386855887187,0.000483419844981449,0.000458995701443131,0.000435414276208863,0.000408076641702111,0.000388137090498832,0.000379682050714597,0.000345165789270863,0.00032478090719287,0.000319927300063151,0.000309628984279268,0.000288918663477506,0.000288186876441236,0.000285134554805677,0.000273886994212185,0.000272811868602559,0.000253061237080425,0.000252974676199903,0.000230489023758345,0.000226227243897856,0.000212652664392237,0.000204223187626208,0.000199946182195208,0.000195455568205896,0.000180602525012858,0.000172134145141124,0.000171964099468505,0.000168860023283061,0.000162580083488818,0.000162010402995456,0.000159762171278489,0.000156918433170144,0.000152434856367528,0.000150737992038768,0.000141312612384217,0.000140844081846828,0.000139127746955604,0.000138048842017725,0.000137371757488378,0.000134153980749674,0.00012629242416109,0.00012138928763328,0.000121090714174998,0.00011908295359172,0.000118231672748147,0.000118145907366159,0.00011650733772279,0.00011553991762901,0.000114241079618152,0.000110399678984289,0.000110095997286351,0.000108640950423297,0.00010482598032047,0.000100698803287459,0.000100244357809288,9.82409563064068e-05,9.74978092409104e-05,9.69055302336378e-05,9.66327829544788e-05,9.64711190451179e-05,9.58948992285225e-05,9.51412411077412e-05,9.46517475979245e-05,9.25429264235776e-05,9.25268656111371e-05,9.02934145703267e-05,8.37129543292428e-05,8.27707032567032e-05,8.21332240944059e-05,8.19744263765882e-05,8.18552873337696e-05,7.93319288089816e-05,7.83326389229817e-05,7.52273440439297e-05
バランス,0.0020295546715175,20,14,2,6,10,6,5,8,7,0,2,3,5,4,8,9,0,5,0,6,11,3,27,4,0,3,4,2,0,0,2,4,0,3,2,0,1,1,19,5,0,4,2,2,0,0,0,3,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,1,0,1,1,0,1,3,0,1,1,0,0,1,0,1,0
画質,0.00168366456888328,2,24,0,12,6,14,13,19,6,18,0,6,11,9,2,13,0,1,28,1,6,1,0,5,0,2,11,5,1,11,7,4,9,7,0,7,10,0,0,2,0,1,4,4,0,6,1,0,1,2,1,0,1,0,2,6,2,2,2,4,9,3,3,0,7,0,1,11,0,5,0,0,1,2,3,3,5,4,2,2
使い勝手,0.00124044190837852,12,17,0,7,10,4,10,5,15,4,0,12,4,1,4,6,0,5,1,5,1,6,0,1,0,5,3,3,0,3,1,1,1,1,1,2,1,0,0,0,0,3,2,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,4,0,0,0,1,0,1,0,0,1,1,0,0,0
操作性,0.00107214567234033,4,4,0,6,8,12,6,10,4,11,3,3,5,1,3,2,1,3,11,0,6,2,0,9,0,6,9,2,2,4,2,0,3,2,0,1,8,0,0,1,0,0,2,5,1,1,2,1,1,3,0,0,6,0,1,1,0,1,3,1,3,3,5,0,0,1,1,2,0,0,0,0,1,4,1,3,2,4,0,0
持ち,0.000975890695398898,0,22,0,30,0,0,5,6,4,7,0,1,0,9,0,2,0,1,0,0,0,6,0,0,0,0,0,2,0,1,3,5,0,2,6,1,0,0,0,0,0,1,9,0,0,0,6,0,0,2,0,0,1,0,0,0,1,2,0,1,1,5,0,0,2,1,0,0,0,0,1,0,5,2,0,0,0,1,4,0
携帯性,0.000957208871062856,11,6,0,3,2,12,3,12,5,11,1,1,6,1,3,1,0,0,12,0,2,3,0,2,0,3,0,1,5,10,3,2,1,4,2,1,1,0,0,3,0,1,1,0,0,1,5,1,0,2,0,1,17,0,0,1,1,0,0,7,0,5,4,1,0,0,0,0,1,0,0,0,0,3,1,1,1,5,2,0
コストパフォーマンス,0.000950009311242,5,5,36,0,1,1,4,8,0,0,14,0,1,1,10,2,4,0,2,0,2,3,0,0,24,0,1,0,33,1,0,0,0,0,0,9,0,4,0,3,0,0,0,1,4,0,1,0,0,0,0,4,2,2,0,0,0,3,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
ホールド感,0.000763447594712097,3,3,0,5,5,6,14,4,2,9,1,1,5,1,0,1,1,1,4,0,0,0,0,4,0,9,0,3,0,2,7,0,3,1,3,0,1,0,0,1,0,1,0,3,1,5,1,4,2,3,1,0,4,0,0,3,1,0,2,2,0,1,2,0,3,1,0,2,0,0,1,0,2,2,2,2,0,3,0,0
満足度,0.000737367237596301,0,0,45,0,0,0,0,0,0,1,7,0,0,0,0,0,68,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,11,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
