"",weight,の良い,の高い,が良い,が悪い,が良く,も良く,は良いです,は良いと,が高い,が良いです,はありません,もよく,がいいです,は高いです,を考えると,がいい,は高いと,が良いと,は思います,がよく,のよい,がよい,も良いです,も良いと,の取れた,に優れた,は良好です,はいいと,が良いので,はいいです,が高いです,も良い,は良い,は最高です,もいいです,が悪いと,を考えれば,は良く,が高く,が悪く,のとれた,も高く,があります,もいい,がいいと,もありません,が悪いです,があり,が高いと,は高い,がいいので,は感じです,は抜群です,はいいですね,はあります,も良いので,が弱いです,の悪い,が良くて,はしました,はありますが,も良好です,のある,が高いので,はありませんが,はします,は悪いです,がいいですね,も満足しています,がよいです,になります,が感じます,といい,はよいです,もなく,にありません,が良くない,は良いのですが,をする,が悪いので,も含めて,は良いですね,もいいですね,も悪くなく,は思いますが,は高く,は最高だと,はよいと,はあり,を考えて
weight,"",0.00174564481877061,0.001293550476885,0.00123100828859579,0.000898672797949852,0.00080097929086591,0.000728932512496388,0.000709436617342184,0.000644644318533417,0.000611707265221423,0.000610979980280496,0.000596640830456897,0.000516054863163413,0.000509197745900395,0.000501905073985496,0.000467500528138817,0.000462981023833642,0.000423037543149797,0.000417796143260419,0.000404673264630194,0.000394186293154371,0.000363909678655818,0.000358541117853351,0.000357777845627958,0.00035633910067303,0.000319589278501174,0.000315071719137785,0.00029420409719085,0.0002823502015774,0.000282108409489706,0.000258963813273546,0.000258422748114797,0.000257725408446572,0.000253675985030897,0.000236386834323282,0.000226338673519886,0.000219717604176907,0.00021841098033786,0.000217098062851218,0.000215173901832122,0.000206911785574613,0.000192562409163144,0.000183541066461126,0.000182093718470707,0.000180897103147011,0.000180600246011463,0.000178958949459363,0.000178005838331306,0.000175527031225853,0.000173785247161922,0.000172396990925063,0.000167358296803702,0.000160421281578848,0.000158107666233228,0.000156727493982734,0.000156532923872194,0.000155497638922599,0.000153059620726621,0.000144214411656717,0.000141517643914547,0.000141465483399051,0.00013888686337402,0.000138764515781298,0.000138707448115187,0.00013853066606563,0.000133471287198926,0.000131510549116928,0.0001266403272323,0.000125143660100749,0.000124469036307926,0.00012417757704928,0.000122213613459432,0.000119722441828973,0.000111873202238082,0.000107615138992491,0.000107269900326722,0.000107070744967555,0.000106473532653461,0.000105872836610168,0.000100603968274261,9.90250592540431e-05,9.83163601918737e-05,9.82494899801396e-05,9.82119411813853e-05,9.74796190752021e-05,9.7321138914569e-05,9.72168089017271e-05,9.71316087592992e-05,9.69966588350894e-05,9.48079961602327e-05,9.35772566160739e-05
バランス,0.00266961597435191,20,2,14,6,10,6,5,8,2,7,0,5,3,0,8,4,0,9,0,5,6,3,4,11,27,0,3,4,2,0,1,1,2,0,0,4,5,3,0,2,19,0,0,2,4,0,2,0,0,0,0,0,1,2,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,3,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,2
画質,0.00236985762132165,2,0,24,12,6,14,13,19,0,6,18,11,6,0,2,9,0,13,28,1,1,1,5,6,0,1,2,11,5,11,0,10,7,7,9,4,2,7,0,0,0,0,1,4,1,6,4,1,0,0,1,2,1,2,6,0,0,2,2,3,9,2,0,0,4,7,3,1,11,0,5,0,3,2,5,3,1,4,2,2,1,5,1,3,7,2,1,1,8,0
使い勝手,0.00166320200507407,12,0,17,7,10,4,10,5,0,15,4,4,12,0,4,1,0,6,1,5,5,6,1,1,0,0,5,3,3,3,0,1,1,2,1,1,0,1,0,1,0,0,1,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,5,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1
コストパフォーマンス,0.00163354336448402,5,36,5,0,1,1,4,8,14,0,0,1,0,4,10,1,24,2,2,0,0,3,0,2,0,33,0,1,0,1,4,0,0,9,0,0,3,0,4,0,0,4,0,1,0,0,0,0,6,2,1,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,9,2,0,1
操作性,0.00146939304735583,4,0,4,6,8,12,6,10,3,4,11,5,3,1,3,1,0,2,11,3,0,2,9,6,0,2,6,9,2,4,0,8,2,1,3,0,1,2,1,0,0,0,0,5,0,1,2,1,0,0,2,3,6,1,1,1,0,1,0,5,3,3,0,0,1,0,3,1,2,1,0,0,1,4,2,3,1,4,0,0,1,1,0,1,3,0,0,0,1,2
携帯性,0.00133333617040459,11,0,6,3,2,12,3,12,1,5,11,6,1,0,3,1,0,1,12,0,0,3,2,2,0,5,3,0,1,10,0,1,3,1,1,2,3,4,0,2,0,1,0,0,1,1,1,0,1,0,5,2,17,0,1,1,0,0,1,4,0,0,0,1,7,0,5,0,0,0,0,0,1,3,1,1,0,5,0,2,0,1,1,1,2,0,0,2,0,2
持ち,0.00128534162976631,0,0,22,30,0,0,5,6,0,4,7,0,1,0,0,9,0,2,0,1,0,6,0,0,0,0,0,0,2,1,0,0,3,1,0,5,0,2,0,6,0,0,0,0,1,0,9,0,0,0,6,2,1,2,0,0,0,0,1,0,1,0,0,0,1,2,5,0,0,1,0,1,0,2,0,0,5,1,0,4,0,2,0,0,1,0,0,1,0,0
満足度,0.00121594218748849,0,45,0,0,0,0,0,0,7,0,1,0,0,68,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,11,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
ホールド感,0.00104496798142461,3,0,3,5,5,6,14,4,1,2,9,5,1,1,0,1,0,1,4,1,0,0,4,0,0,0,9,0,3,2,0,1,7,0,3,0,1,1,1,3,0,0,1,3,1,5,0,2,0,0,1,3,4,0,3,4,0,0,1,2,0,2,0,0,2,3,1,0,2,1,0,1,2,2,0,2,2,3,0,0,0,1,0,1,2,0,0,1,2,0
