"",weight,の高い,は高いです,が高い,は高いと,の良い,が高いです,に優れた,が良い,を考えると,は良いと,は高い,が高いと,が高く,は良いです,が悪い,も良く,が良く,は最高です,も高く,はありません,があります,はしました,は5です,は思います,が高いので,が良いです,もよく,は高く,を考えれば,は満点です,がいい,がいいです,も高い,が良いと,のある,も良いと,がよい,があり,は最高だと,はあります,はしましたが,はいいです,も良いです,がある,のよい,はあると,がよく,はいいと,をしました,が低い,は高いですね,は最高ですね,も良い,があると,は良好です,が良いので,はいいですね,に優れていると,は5と,もありません,は感じです,に優れている,は抜群です,はします,の強い,の取れた,もいいです,は良い,は良く,はありますが,から考えると,は大満足です,は抜群だと,が悪いと,が多い,がいいので,もいい,で言えば,は素晴らしいです,といい,を持った,は抜群,が悪く,が高かった,が弱いです,もいいですね,も高いので,はものです,を含め,をしたのは,も含めて,はありませんが,も高いです,はよいと,が素晴らしい,は低いです,のとれた,が悪いです,は思いますが,が得られる
weight,"",0.00941014382061493,0.00420293157774006,0.00399845140300528,0.00292646520986804,0.00232227728577012,0.00211933245454094,0.00178656889294318,0.00173767180761216,0.00130720688020492,0.00121752379216375,0.00120924847500427,0.00120325158656022,0.00116655682196045,0.00115531565371023,0.00110810835476053,0.000984917094746872,0.000961551876419837,0.000918169535900638,0.000879976570654317,0.000877250671978598,0.000841595267292752,0.000830265532872393,0.000824740939467383,0.000822940638358865,0.000778382806549744,0.000656735773250952,0.000651172511974497,0.000638633966857728,0.000637168401949222,0.000622122922316464,0.000572209447866233,0.000569924053106984,0.000551338063746837,0.000551282090676331,0.000534214620078478,0.00053239311255168,0.000519572472065174,0.000500145338707518,0.000474405578152028,0.000470538643313421,0.000450413751442902,0.000419160726369193,0.00041195201222392,0.000405040147216671,0.000403763754275743,0.000402903452215965,0.000392030623601064,0.000386214702022563,0.000384947807297231,0.000373951019470232,0.00036053276560372,0.000350081443819346,0.000347412421980755,0.000346947774543623,0.000336440444101269,0.000326178446137834,0.000319513555761067,0.000318876967835151,0.000315428297661055,0.000315351549275863,0.000309912687950537,0.000307177695498646,0.000303154224175378,0.000300779244381492,0.00029991945871916,0.000295033361893929,0.000289404581568386,0.000288929565314347,0.000287337789581628,0.000286327789533485,0.000283570303173629,0.000280174007080994,0.000277200893604025,0.000272039534530696,0.000269137059369962,0.000267845309292342,0.000266713836041443,0.000265905912064789,0.000264861126011958,0.000262443193151482,0.000260608072242291,0.000260088303682288,0.000256665088479504,0.000254855949904887,0.000251921526347223,0.000245254971802644,0.000243024237073293,0.000242377339706978,0.000239573539961462,0.000238353707230473,0.000232367416107208,0.000232290146338552,0.000231716526707517,0.000220693219581977,0.00021928675393023,0.00021205904545674,0.000207616069480913,0.000206122868207896,0.000201701620416703,0.000198756837929061
満足度,0.011677501086985,45,68,7,10,0,16,0,0,0,0,13,3,2,0,0,0,0,3,0,1,0,11,14,1,2,0,0,6,0,10,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,4,1,5,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,0,0,1,0,0,1,1
コストパフォーマンス,0.0099637812879304,36,4,14,24,5,4,33,5,10,8,2,6,4,4,0,1,1,9,4,0,0,0,0,2,2,0,1,0,3,0,1,0,3,2,0,2,3,0,9,0,0,1,0,0,0,1,0,1,0,0,2,3,0,0,0,0,3,7,0,0,0,3,2,0,0,0,0,0,0,0,3,0,5,0,0,1,1,1,3,1,3,4,0,0,0,3,1,0,3,0,2,0,1,2,2,0,0,0,0,0
完成度,0.00391837632715322,37,3,11,7,0,1,0,0,0,0,1,3,4,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
画質,0.00362747710764276,0,0,0,0,2,0,1,24,2,19,0,0,0,13,12,14,6,7,0,18,1,3,1,28,0,6,11,2,2,0,9,6,0,13,0,6,1,1,1,6,1,11,5,0,1,0,1,11,0,1,0,1,10,1,2,5,2,0,1,6,2,0,1,7,0,0,9,7,7,9,0,4,0,4,0,1,4,1,4,3,0,0,0,0,0,1,0,11,0,1,1,4,0,1,1,0,0,4,7,6
バランス,0.00332841530405556,2,0,2,0,20,1,0,14,8,8,0,0,0,5,6,6,10,0,0,0,0,0,0,0,0,7,5,0,5,0,4,3,0,9,0,11,3,0,1,0,0,0,4,0,6,0,5,4,0,0,0,0,1,0,3,2,2,0,0,0,0,0,1,1,0,27,0,2,3,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,19,2,0,0
携帯性,0.00269846621393714,0,0,1,0,11,0,5,6,3,12,0,1,0,3,3,12,2,1,1,11,0,4,0,12,1,5,6,0,3,1,1,1,0,1,0,2,3,0,0,1,1,10,2,0,0,0,0,0,2,0,0,0,1,1,3,1,0,1,0,1,2,4,17,0,0,0,1,3,4,0,1,1,0,2,0,5,0,1,1,1,0,6,2,0,0,1,0,2,0,4,0,7,0,2,0,0,0,1,2,0
質感,0.00266004050813339,5,2,9,2,1,2,0,4,0,4,2,2,6,4,1,5,5,4,4,2,3,0,0,2,0,2,2,0,0,0,4,1,0,1,2,3,1,4,0,6,0,5,2,1,0,0,1,2,0,1,0,0,6,2,1,0,1,0,0,0,4,0,0,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,3,1,2,0,1,0,0,0,1,0
評価,0.00253817491514191,12,2,4,0,1,2,0,0,0,1,0,3,4,0,0,0,0,1,0,0,1,4,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0,1,0,0,1,0
操作性,0.00239957577603772,0,1,3,0,4,0,2,4,3,10,0,0,1,6,6,12,8,1,0,11,0,5,0,11,0,4,5,0,1,2,1,3,0,2,0,6,2,1,0,1,0,4,9,0,0,0,3,9,3,0,0,0,8,0,6,2,1,1,0,1,3,0,6,0,0,0,3,2,2,3,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,2,0,5,1,1,0,0,1,0,0,2,3,0
