"",weight,バランス,画質,使い勝手,操作性,携帯性,持ち,ホールド感,写り,コストパフォーマンス,質感,デザイン,気持ち,評判,レスポンス,レンズ,描写,性能,発色,色乗り,天気,相性,感触,精度,色のり,ホールド性,価格,もち,出来,質,感じ,視認性,ヌケ,不満,感度,値段,カメラ,色,重量バランス,大きさ,切れ,操作感,重さ,反応,機能,液晶,ボケ味,解像度,画像,位置,描写力
weight,"",0.000832268593049993,0.00060886539595212,0.000518813630652531,0.000389261243882809,0.000340783085157122,0.000330280912114646,0.00027293589089007,0.000201663820471407,0.000183224953123752,0.000180625869041466,0.000177083212847386,0.000176831877447378,0.000136250896813313,0.000134343185379832,0.000102576666128052,0.000102413144936741,9.92549109012503e-05,9.80777228784901e-05,9.17351896428784e-05,7.30778307291051e-05,7.25376354455036e-05,6.65492130747818e-05,6.6463032433014e-05,6.64122596022596e-05,6.39828834047668e-05,6.10987936003239e-05,5.76010840359371e-05,5.56076447578375e-05,5.33298630111477e-05,5.16441345502355e-05,5.1166499496759e-05,4.69451710950716e-05,4.63234537012056e-05,4.62669589657063e-05,4.27640341378571e-05,4.25295858764565e-05,4.23682685736656e-05,4.17133920518954e-05,4.15050402052308e-05,4.14931783832517e-05,4.04424567238086e-05,4.01965148665723e-05,3.97276075676758e-05,3.84172004751876e-05,3.79927389289227e-05,3.74818602217992e-05,3.65750119955583e-05,3.60944639557205e-05,3.54964789657441e-05,3.43093439695775e-05
の良い,0.000310701023499765,20,2,12,4,11,0,3,7,5,1,1,13,14,2,5,2,5,1,2,15,1,0,2,1,0,0,0,5,4,0,2,5,0,1,0,3,0,0,0,4,0,0,2,0,1,0,0,0,0,0
が良い,0.000192765038230771,14,24,17,4,6,24,3,4,5,4,7,7,1,8,1,0,2,0,1,2,2,2,2,0,1,0,1,1,0,4,2,0,0,0,0,0,1,0,0,1,1,3,0,3,1,0,1,1,0,0
が良く,0.000131469097238927,10,6,10,8,2,0,5,4,1,5,3,0,0,6,1,1,0,3,2,0,1,1,2,1,4,0,0,0,1,0,0,2,0,2,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0
が悪い,0.000114747463984332,6,12,7,6,3,36,5,2,0,1,0,0,0,6,1,0,0,2,0,0,0,0,2,0,2,0,7,0,2,0,1,0,0,2,0,0,2,1,0,0,0,0,2,1,0,0,1,1,5,0
も良く,0.000111745507298243,6,14,4,12,12,7,6,6,1,5,7,0,0,6,1,6,3,3,5,0,3,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,1,0,2,0,0,0,1,1,0,0,1
は良いです,0.000103048791391488,5,13,10,6,3,10,14,4,4,4,2,0,0,1,10,5,0,2,1,0,0,6,1,1,2,0,1,1,0,3,0,0,0,0,0,2,0,0,2,0,1,2,0,0,7,0,1,2,0,1
が良いです,9.88176357862859e-05,7,6,15,4,5,7,2,1,0,2,2,2,0,0,0,0,0,0,1,0,2,2,0,1,2,0,1,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
は良いと,9.47515017042552e-05,8,19,5,10,12,8,4,5,8,4,11,0,0,1,2,0,3,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2,1,2,0,0,0,0,1
がいいです,8.37379934075215e-05,3,6,12,3,1,6,1,1,0,1,0,9,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
もよく,7.79737200046816e-05,5,11,4,5,6,6,5,1,1,2,1,0,0,0,0,0,0,6,3,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0
がいい,7.29156469717654e-05,4,9,1,1,1,10,1,5,1,4,1,9,3,1,1,1,2,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,2,2,0,1,0,0,0,0,0,0
が良いと,6.86887640291183e-05,9,13,6,2,1,2,1,2,2,1,1,0,0,0,2,4,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
はありません,6.419619437042e-05,0,18,4,11,11,9,9,6,0,2,0,1,0,1,8,4,1,1,0,0,1,2,1,0,1,0,0,0,0,6,0,0,158,0,0,6,0,0,2,0,0,1,0,4,1,1,2,3,0,2
のよい,6.38773511706064e-05,6,1,5,0,0,0,0,1,0,0,0,3,3,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
を考えると,6.21565936842301e-05,8,2,4,3,3,0,0,0,10,0,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,45,1,0,0,0,0,0,0,0,27,0,0,1,8,0,0,1,0,8,0,0,0,0,0,1
がよく,5.88613159850563e-05,5,1,5,3,0,1,1,0,0,1,1,1,1,4,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
も良いと,5.66769044134756e-05,11,6,1,6,2,1,0,2,2,3,4,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
がよい,5.24128751981513e-05,3,1,6,2,3,6,0,0,3,1,1,2,0,0,0,0,4,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
も良いです,5.03169006853864e-05,4,5,1,9,2,5,4,0,0,2,2,0,0,0,0,3,0,4,2,0,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
の取れた,4.93873670601095e-05,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思います,4.88762780068887e-05,0,28,1,11,12,0,4,4,2,2,11,0,0,0,6,5,4,2,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,2,3,1,0,0,0,0,1,0,1,5,2,1,1,0,0
は良好です,4.85589831987754e-05,3,2,5,6,3,0,9,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0
が良いので,4.33406213225146e-05,2,5,3,2,1,2,3,1,0,0,2,0,6,1,0,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
の高い,4.29825380128968e-05,2,0,0,0,0,0,0,0,36,5,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
はいいと,4.27853525750035e-05,4,11,3,9,0,0,0,2,1,2,6,0,0,0,3,0,3,0,0,0,2,0,1,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
はいいです,3.79538794881239e-05,0,11,3,4,10,1,2,7,1,5,3,0,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,1,3,0,0,0,1
は良い,3.73868554902365e-05,2,7,1,2,3,4,7,3,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1
が悪いと,3.54985753963624e-05,4,4,1,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
が高い,3.52145242178666e-05,2,0,0,3,1,0,1,0,14,9,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,9,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1
のとれた,3.47540731163733e-05,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪く,3.41962780972084e-05,2,0,1,0,2,6,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0
は良く,3.40214342679244e-05,3,7,1,2,4,2,1,2,0,0,0,0,1,1,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
もいいです,3.34742772301796e-05,0,9,1,3,1,6,3,0,0,5,3,0,0,1,0,1,0,1,0,0,2,3,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,0,1,2,0,0,1,3,0,1,1,0
も良い,3.14291870546455e-05,1,10,1,8,1,4,1,2,0,6,2,0,1,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,1,1,0,0
がいいと,2.95268079616129e-05,4,1,3,0,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えれば,2.91263690972781e-05,5,2,0,1,3,0,1,2,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,12,0,0,0,1,0,0
が悪いです,2.79220391541827e-05,2,4,2,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
もいい,2.652700182008e-05,2,4,1,5,0,0,3,3,1,0,2,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0
の悪い,2.63300247014074e-05,0,2,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
がいいので,2.57064301980863e-05,0,1,1,2,5,6,1,2,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
は最高です,2.44493967507615e-05,0,7,2,1,1,1,0,4,9,4,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0
に優れた,2.40592498790446e-05,0,1,0,2,5,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
が良くて,2.38466707081359e-05,1,2,1,0,1,2,1,2,0,1,0,0,0,1,1,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は抜群です,2.29538942660626e-05,1,1,0,6,17,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,2.24854765679797e-05,3,0,0,1,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0
がよいです,2.18930012517351e-05,0,0,5,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,2.16547472760068e-05,0,6,1,1,1,0,5,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,15,0,0,1,0,0,1,0,0,0,0,2,1,3,0,1,0,1
も良好です,2.12981339058834e-05,0,2,1,3,0,1,2,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1
がいいですね,2.05751827030062e-05,1,1,4,1,0,0,0,0,0,2,4,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は感じです,1.98282056271436e-05,0,2,0,3,2,2,3,1,0,4,5,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,1,1,0
はいいですね,1.9526958049893e-05,2,2,0,1,0,2,0,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3
