"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,質感,コストパフォーマンス,デザイン,気持ち,評判,レスポンス,発色,レンズ,描写,性能,色乗り,不満,相性,天気,感触,精度,色のり,もち,ホールド性,価格,出来,感じ,質,視認性,カメラ,感度,ヌケ,色,機能,大きさ,液晶,重さ,切れ,値段,重量バランス,描写力,操作感,ボケ味,画像,反応,AF,バッテリー,補正,解像度,ボケ,コントラスト,位置,取り回し,ホールド,条件,音,問題
weight,"",0.00114817507778051,0.00090116105485007,0.00072135405413476,0.000563485153444425,0.000504939644742299,0.00049527274228546,0.000401979643793859,0.000291552147888715,0.000263288044389939,0.000262869388764937,0.000253188187650472,0.000246810814011009,0.000185995281930578,0.000185891675777608,0.000155322758841661,0.000154550060067816,0.000146536275529354,0.000141471187731978,0.00012694185673038,0.00011868611400041,0.000101404285799845,9.83585857209014e-05,9.62676133982491e-05,9.24332645483338e-05,9.23020707302268e-05,9.22856983137909e-05,8.84974940239168e-05,8.47002647339316e-05,7.64468739255166e-05,7.62790959903279e-05,7.54917034115308e-05,7.09182701631017e-05,6.52844045940471e-05,6.42416560933147e-05,6.37209018658194e-05,6.31239558151014e-05,6.20749055080066e-05,6.11296078594696e-05,5.97406820858396e-05,5.95016469195075e-05,5.92329416467103e-05,5.89542088918909e-05,5.72658441552166e-05,5.72368186638368e-05,5.60302191008606e-05,5.54021414440326e-05,5.47661655793345e-05,5.46771599334548e-05,5.45427835579031e-05,5.43467356206956e-05,5.42426608762971e-05,5.36723195682319e-05,5.06138588231566e-05,4.97483157653305e-05,4.95159430875723e-05,4.65164651843971e-05,4.58096280858557e-05,4.52054511574035e-05,4.41101023072208e-05,4.22266150334382e-05
の良い,0.000429944684337926,20,2,12,4,0,11,3,7,1,5,1,13,14,2,1,5,2,5,2,0,1,15,0,2,1,0,0,0,5,0,4,2,3,1,5,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0
が良い,0.000273512130487866,14,24,17,4,24,6,3,4,4,5,7,7,1,8,0,1,0,2,1,0,2,2,2,2,0,1,1,0,1,4,0,2,0,0,0,1,3,0,1,3,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0
が良く,0.00018369480228466,10,6,10,8,0,2,5,4,5,1,3,0,0,6,3,1,1,0,2,0,1,0,1,2,1,0,4,0,0,0,1,0,0,2,2,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が悪い,0.000167838841134495,6,12,7,6,36,3,5,2,1,0,0,0,0,6,2,1,0,0,0,0,0,0,0,2,0,7,2,0,0,0,2,1,0,2,0,2,1,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,5,0,0,2,1,0
も良く,0.000164566686210392,6,14,4,12,7,12,6,6,5,1,7,0,0,6,3,1,6,3,5,0,3,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,1,4,1,0,2,0,0,1,0
は良いです,0.000153599195392977,5,13,10,6,10,3,14,4,4,4,2,0,0,1,2,10,5,0,1,0,0,0,6,1,1,1,2,0,1,3,0,0,2,0,0,0,0,2,7,2,0,0,0,1,1,0,2,0,2,5,0,1,1,0,0,0,5,0,0,0
が良いです,0.000142398536332205,7,6,15,4,7,5,2,1,2,0,2,2,0,0,0,0,0,0,1,0,2,0,2,0,1,1,2,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
は良いと,0.000135939477994571,8,19,5,10,8,12,4,5,4,8,11,0,0,1,0,2,0,3,0,0,1,0,1,2,1,1,0,0,0,1,0,0,1,0,0,1,1,1,2,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0
がいいです,0.000120435962226625,3,6,12,3,6,1,1,1,1,0,0,9,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,2,0
はありません,0.000116197143049622,0,18,4,11,9,11,9,6,2,0,0,1,0,1,1,8,4,1,0,158,1,0,2,1,0,0,1,0,0,6,0,0,6,0,0,0,4,2,1,1,0,0,0,2,0,1,3,0,6,9,1,2,0,0,0,0,1,0,0,36
もよく,0.000111503420412905,5,11,4,5,6,6,5,1,2,1,1,0,0,0,6,0,0,0,3,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
がいい,0.000104629328323307,4,9,1,1,10,1,1,5,4,1,1,9,3,1,3,1,1,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,1,1,0,2,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
が良いと,9.68922995914163e-05,9,13,6,2,2,1,1,2,1,2,1,0,0,0,0,2,4,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
のよい,9.09316680655093e-05,6,1,5,0,0,0,0,1,0,0,0,3,3,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
を考えると,8.71947015973837e-05,8,2,4,3,0,3,0,0,0,10,0,0,0,0,0,0,1,12,0,0,0,0,1,0,0,1,0,45,0,0,0,0,0,0,0,0,8,8,0,1,0,27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
がよく,8.49795076191965e-05,5,1,5,3,1,0,1,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
も良いと,8.09807596237064e-05,11,6,1,6,1,2,0,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0
がよい,7.6537606346851e-05,3,1,6,2,6,3,0,0,1,3,1,2,0,0,0,0,0,4,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0
も良いです,7.46829298584947e-05,4,5,1,9,5,2,4,0,2,0,2,0,0,0,4,0,3,0,2,0,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0
は思います,7.21673517119036e-05,0,28,1,11,0,12,4,4,2,2,11,0,0,0,2,6,5,4,1,0,0,0,0,0,0,0,1,3,1,0,0,1,3,1,0,1,1,0,5,1,0,2,0,0,0,2,1,0,2,3,3,1,0,0,0,0,0,0,0,1
は良好です,6.84702056681233e-05,3,2,5,6,0,3,9,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の取れた,6.81334661540085e-05,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
