"",weight,の高い,の良い,が良い,が悪い,が高い,は高いです,が良く,も良く,は良いです,は良いと,はありません,は高いと,が良いです,を考えると,もよく,がいいです,がいい,は思います,に優れた,が良いと,がよく,が高いです,も良いです,がよい,も良いと,のよい,の取れた,は最高です,は良好です,が高く,はいいと,が良いので,はいいです,も良い,は高い,は良い,が高いと,を考えれば,も高く,もいいです,があります,のある,は良く,が悪いと,が悪く,があり,はしました,もありません,はあります,のとれた,が高いので,もいい,がいいと,が悪いです,はいいですね,がいいので,は感じです,は抜群です,も良いので,はありますが,はします,の悪い,は高く,はありませんが,が良くて,も良好です,は5です,がある,が弱いです,も満足しています,になります,は最高だと,は悪いです,がいいですね,は満点です,といい,がよいです,も高い,が感じます,をする,はあり,もなく,があると,も含めて,は良いのですが,もいいですね,はよいです,にありません,はよいと,は良いですね,は思いますが,が良くない,も悪くなく,は最高ですね,をします,が悪いので,はしましたが,はあると,には満足しています,を考えて
weight,"",0.0013164049472481,0.00122041886998311,0.000868955612572926,0.000604456838690729,0.000567822699690021,0.000556127410818791,0.000553011017956392,0.000512654832213983,0.000508215253808363,0.000471640228516198,0.000435014932191009,0.000432797838734823,0.000417462762760942,0.000361913717878859,0.000356559031631056,0.000347282878480063,0.000323098310507309,0.000304501195346542,0.000299380240310613,0.000290540323701601,0.000274363507743781,0.000260684773238526,0.000254371746869932,0.00025354112156858,0.000251851858902436,0.000247628865429279,0.000215906328363016,0.00020184715562017,0.000201283073273899,0.000199166166763648,0.000198770794053419,0.000195584508380454,0.000194031641014701,0.000190438127165586,0.000175906473164659,0.000175504356383048,0.000172104130361832,0.000167839091990835,0.000165239932912384,0.000164168711065005,0.000158723487269016,0.000156784325026076,0.000151497038330417,0.000151416474342309,0.000148304643524387,0.000141403709859032,0.000135482021616246,0.000131896543995368,0.000131888782999052,0.000130126444509651,0.000130126272083945,0.000128515108223522,0.000122994518186485,0.00012157977064859,0.000119664864380533,0.000118947570345375,0.00011774781098251,0.000114736325206853,0.000107310331165239,0.000104967941273019,0.000101714169982358,9.872520139556e-05,9.83670536876082e-05,9.80759679677761e-05,9.72030000037587e-05,9.54601509890235e-05,9.45855894540452e-05,9.44426559535511e-05,9.20980850081551e-05,9.14202382452651e-05,9.05117501140482e-05,8.83226236665854e-05,8.65859680233165e-05,8.61834519696994e-05,8.51379172279216e-05,8.47968495492274e-05,8.44218190010571e-05,8.38263964189134e-05,8.28100378213367e-05,7.84093929179374e-05,7.67842325611007e-05,7.62942291496228e-05,7.59521023778394e-05,7.58297127947721e-05,7.54194455405819e-05,7.51066366413069e-05,7.48959723058864e-05,7.39155888610735e-05,7.38268794661216e-05,7.26913046509077e-05,7.22516177330656e-05,7.21207661434531e-05,7.02627387823049e-05,6.90095720690169e-05,6.84869343681379e-05,6.80880582030541e-05,6.77726813258639e-05,6.71611573178419e-05,6.69012665141096e-05,6.68964835567451e-05
バランス,0.00185827770544613,2,20,14,6,2,0,10,6,5,8,0,0,7,8,5,3,4,0,0,9,5,1,4,3,11,6,27,0,3,0,4,2,0,1,0,2,0,5,0,0,0,0,3,4,2,0,0,0,0,19,0,2,4,2,2,0,0,1,3,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,3,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,2
画質,0.00171878366657905,0,2,24,12,0,0,6,14,13,19,18,0,6,2,11,6,9,28,1,13,1,0,5,1,6,1,0,7,2,0,11,5,11,10,0,7,0,2,0,9,1,0,7,4,0,1,3,6,6,0,0,4,1,4,2,1,2,1,0,9,7,2,2,4,2,2,1,0,0,11,5,1,3,1,0,3,0,0,0,2,8,5,1,1,4,1,2,3,1,5,7,1,3,1,0,2,1,0,12,0
コストパフォーマンス,0.0015281042293132,36,5,5,0,14,4,1,1,4,8,0,24,0,10,1,0,1,2,33,2,0,4,0,3,2,0,0,9,0,4,1,0,1,0,2,0,6,3,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,0,0,2,0,3,0,0,2,1,0,0,0,3,0,0,0,1,0,1
満足度,0.00147773010018554,45,0,0,0,7,68,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,3,0,2,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,14,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,2,0,0
使い勝手,0.00116494450700443,0,12,17,7,0,0,10,4,10,5,4,0,15,4,4,12,1,1,0,6,5,0,1,6,1,5,0,2,5,0,3,3,3,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,5,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1
操作性,0.00106709684803833,0,4,4,6,3,1,8,12,6,10,11,0,4,3,5,3,1,11,2,2,3,0,9,2,6,0,0,1,6,1,9,2,4,8,0,2,0,1,0,3,0,0,2,0,0,1,5,1,1,0,0,5,0,2,1,2,3,6,1,3,0,1,0,1,0,3,0,0,0,2,0,0,3,1,2,1,1,0,0,0,1,2,0,1,4,0,4,3,0,1,3,1,1,0,0,0,0,0,1,2
携帯性,0.0009762308368244,0,11,6,3,1,0,2,12,3,12,11,0,5,3,6,1,1,12,5,1,0,0,2,3,2,0,0,1,3,0,0,1,10,1,0,3,1,3,1,1,0,0,4,2,2,0,4,1,1,0,1,0,1,1,0,5,2,17,1,0,0,0,0,7,1,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,1,1,0,5,1,3,1,2,1,2,0,1,0,0,2,1,0,1,2
持ち,0.000893041806261152,0,0,22,30,0,0,0,0,5,6,7,0,4,0,0,1,9,0,0,2,1,0,0,6,0,0,0,1,0,0,0,2,1,0,0,3,0,0,0,0,0,0,2,5,6,0,0,0,0,0,0,0,1,9,2,6,2,1,0,1,2,0,0,1,1,0,0,1,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,2,1,5,0,0,0,4,0,0,0,0
ホールド感,0.00075830308725795,0,3,3,5,1,1,5,6,14,4,9,0,2,0,5,1,1,4,0,1,1,0,4,0,0,0,0,0,9,1,0,3,2,1,0,7,0,1,0,3,1,0,1,0,3,2,2,5,3,0,0,3,1,0,0,1,3,4,4,0,3,0,0,2,1,2,0,0,0,2,0,0,1,0,1,2,1,0,1,0,2,0,1,0,3,0,2,2,1,1,2,2,1,0,0,0,2,0,1,0
