"",weight,の良い,が良い,の高い,が良く,が悪い,も良く,は良いです,は良いと,が良いです,が高い,はありません,がいいです,もよく,がいい,は高いです,を考えると,が良いと,のよい,がよく,も良いと,は思います,がよい,は高いと,も良いです,は良好です,の取れた,はいいと,が良いので,に優れた,はいいです,は良い,が高いです,が悪いと,は最高です,もいいです,は良く,が悪く,も良い,を考えれば,のとれた,が高く,がいいと,もいい,が悪いです,もありません,がいいので,は高い,も高く,があります,があり,の悪い,は抜群です,は感じです,が良くて,はいいですね,はあります,も良いので,も良好です,はしました,がよいです,はありますが,はします,はありませんが,がいいですね,が高いと,になります,が感じます,が高いので,は悪いです,のある
weight,"",0.00054127925855538,0.000348047336373188,0.000339011806829765,0.000231982525563432,0.000214005248391017,0.000212892601278267,0.000202273287185826,0.000185026539816046,0.000177514532231936,0.000164910111038529,0.000159152090104196,0.000150559724151367,0.000143653982376489,0.000132424907924533,0.000131955736109482,0.000126697311563867,0.000122893280611876,0.000112845506006481,0.000106119038759369,0.000105528030898487,0.000102198477505219,9.93901850756275e-05,9.68604250121409e-05,9.57304003814681e-05,8.5989074862028e-05,8.38094528466882e-05,8.08586840380086e-05,7.97519448727642e-05,7.43338841310538e-05,7.31164363039743e-05,6.83621292850543e-05,6.61547101559779e-05,6.60712221037291e-05,6.47931394372891e-05,6.31224040556777e-05,6.30854835802107e-05,6.19810730442785e-05,5.98005260072137e-05,5.9285454442114e-05,5.89770223735954e-05,5.63997333291981e-05,5.42101826337037e-05,5.20515270519634e-05,5.12612502514075e-05,4.97489654895807e-05,4.82550363877439e-05,4.79962700448959e-05,4.77978848131276e-05,4.67661042601123e-05,4.64395185792628e-05,4.63130585643205e-05,4.41776267442108e-05,4.40800712543055e-05,4.24079691221794e-05,4.17801604455243e-05,4.16915249397389e-05,4.14700438390787e-05,3.8468708766536e-05,3.83778025369182e-05,3.80984820898632e-05,3.73087819689963e-05,3.67375465905283e-05,3.6652079804334e-05,3.63154547883758e-05,3.57978903639966e-05,3.53462988667246e-05,3.52405935115291e-05,3.48312967993772e-05,3.44655022445613e-05,3.44207940437919e-05
バランス,0.000744951062457788,20,14,2,10,6,6,5,8,7,2,0,3,5,4,0,8,9,6,5,11,0,3,0,4,3,27,4,2,0,0,2,1,4,0,0,3,2,1,5,19,0,4,2,2,0,0,0,0,0,0,0,1,0,1,2,0,3,0,0,0,0,1,0,1,0,1,3,0,1,0
画質,0.000588981165551753,2,24,0,6,12,14,13,19,6,0,18,6,11,9,0,2,13,1,1,6,28,1,0,5,2,0,11,5,1,11,7,0,4,7,9,7,0,10,2,0,0,1,4,4,6,1,0,0,1,1,2,1,2,2,2,6,0,2,3,0,9,7,4,1,0,5,0,0,3,0
使い勝手,0.00046684958484858,12,17,0,10,7,4,10,5,15,0,4,12,4,1,0,4,6,5,5,1,1,6,0,1,5,0,3,3,0,3,1,0,1,2,1,1,1,1,0,0,0,3,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,4,0,0,1,0,0,0
操作性,0.000379619929848027,4,4,0,8,6,12,6,10,4,3,11,3,5,1,1,3,2,0,3,6,11,2,0,9,6,0,9,2,2,4,2,0,0,1,3,2,0,8,1,0,1,0,5,2,1,2,0,0,0,1,1,6,3,0,1,1,1,3,5,1,3,0,1,1,0,0,0,0,3,0
コストパフォーマンス,0.00037526102832036,5,5,36,1,0,1,4,8,0,14,0,0,1,1,4,10,2,0,0,2,2,3,24,0,0,0,1,0,33,1,0,4,0,9,0,0,0,0,3,0,4,0,1,0,0,1,2,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0
携帯性,0.000342231911093553,11,6,0,2,3,12,3,12,5,1,11,1,6,1,0,3,1,0,0,2,12,3,0,2,3,0,0,1,5,10,3,0,2,1,1,4,2,1,3,0,0,1,0,1,1,5,0,1,0,0,0,17,2,1,0,1,1,0,4,0,0,0,7,0,1,0,0,1,5,0
持ち,0.000319048851530593,0,22,0,0,30,0,5,6,4,0,7,1,0,9,0,0,2,0,1,0,0,6,0,0,0,0,0,2,0,1,3,0,5,1,0,2,6,0,0,0,0,1,0,9,0,6,0,0,0,0,0,1,2,1,2,0,0,0,0,1,1,2,1,0,0,0,1,0,5,0
満足度,0.000307462910602587,0,0,45,0,0,0,0,0,0,7,1,0,0,0,68,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,11,0,1,2,0,0,3,0,0,2,0,0
ホールド感,0.000265011865834351,3,3,0,5,5,6,14,4,2,1,9,1,5,1,1,0,1,0,1,0,4,0,0,4,9,0,0,3,0,2,7,0,0,0,3,1,3,1,1,0,1,1,3,0,5,1,0,0,1,2,0,4,3,1,0,3,4,2,2,1,0,3,2,0,0,0,1,0,1,0
