"",weight,の良い,の高い,が良い,が悪い,が良く,も良く,は良いです,が高い,は良いと,が良いです,はありません,は高いです,がいいです,もよく,を考えると,がいい,が良いと,は高いと,のよい,は思います,も良いと,がよい,がよく,も良いです,に優れた,は良好です,の取れた,はいいと,が高いです,が良いので,はいいです,は良い,は最高です,が悪いと,が高く,もいいです,は良く,も良い,を考えれば,が悪く,のとれた,も高く,は高い,が弱いです,がいいと,もいい,が悪いです,もありません,があり,が高いと,がいいので,があります,は感じです,は抜群です,はあります,の悪い,が高いので,はしました,はいいですね,も良いので,が良くて,も良好です,はありますが,はありませんが,はします,は悪いです,がよいです,がいいですね,も満足しています,が感じます,のある,になります,といい,が良くない,はよいです,もなく,にありません,は高く,は良いのですが,が悪いので
weight,"",0.000764651408479866,0.000578962918557887,0.000526000433942096,0.000396952470421247,0.000336474998243345,0.000312711541444613,0.000298662469617982,0.000274050105935341,0.000273573315498855,0.000253907811201671,0.000242200186092298,0.000222685959657522,0.000214389764296831,0.000209678229392224,0.000198866329397346,0.000191866578309202,0.000177615772311094,0.000164626912338792,0.000158184318879942,0.000155971666031057,0.000153651579998933,0.000153514997093934,0.000153075371710329,0.000140181331218971,0.00013644933789324,0.000124566219186743,0.000120435112375764,0.000117764598894389,0.000115416408224612,0.000113665541637503,0.000109026695691568,9.94052204055593e-05,9.87188991988335e-05,9.60118526930751e-05,9.60096760319525e-05,9.48412828755435e-05,9.39951768300832e-05,9.30283477128895e-05,9.23678808476717e-05,9.05449474263722e-05,8.47506346347967e-05,7.95067201036832e-05,7.90315101172693e-05,7.90115240912824e-05,7.79842192205779e-05,7.7119416322695e-05,7.71023484561546e-05,7.53716726386759e-05,7.37112752780467e-05,7.33311705130514e-05,7.08391087201476e-05,6.98947063995966e-05,6.71775291350967e-05,6.58858185679851e-05,6.43122602528639e-05,6.36586194793997e-05,6.28617061963088e-05,6.2857873184735e-05,6.24674701907822e-05,6.17304578491774e-05,6.10574414055588e-05,5.74123347424387e-05,5.62446789520453e-05,5.61139009340314e-05,5.5020392228547e-05,5.43443298088544e-05,5.33709350891052e-05,5.31012074611637e-05,5.26515195560846e-05,5.15885488099472e-05,5.1429073120709e-05,5.13533389194736e-05,4.66607595630984e-05,4.61972826620461e-05,4.6071789204116e-05,4.51340984386767e-05,4.50548876108697e-05,4.41514191212235e-05,4.38121287062351e-05,4.3784016815834e-05
バランス,0.00109495236737018,20,2,14,6,10,6,5,2,8,7,0,0,3,5,8,4,9,0,6,0,11,3,5,4,0,3,27,4,1,2,0,2,0,4,0,0,3,1,5,2,19,0,0,0,4,2,2,0,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,1,1,0,1,1,3,0,1,0,1,1,1,0,0,0,1
画質,0.000944138616575571,2,0,24,12,6,14,13,0,19,6,18,0,6,11,2,9,13,0,1,28,6,1,1,5,1,2,0,11,0,5,11,7,7,4,0,9,7,10,2,0,0,0,0,0,1,4,4,6,1,0,1,1,2,1,6,2,0,3,2,0,2,2,9,4,7,3,0,1,11,0,0,5,3,1,2,5,3,2,4,2
使い勝手,0.000688684964771718,12,0,17,7,10,4,10,0,5,15,4,0,12,4,4,1,6,0,5,1,1,6,5,1,0,5,0,3,0,3,3,1,2,1,0,1,1,1,0,1,0,0,0,0,3,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,4,0,1,0,0,0,1,0,1,1,0,0,0
コストパフォーマンス,0.000625557366402189,5,36,5,0,1,1,4,14,8,0,0,4,0,1,10,1,2,24,0,2,2,3,0,0,33,0,0,1,4,0,1,0,9,0,4,0,0,0,3,0,0,4,2,0,0,1,0,0,0,6,1,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
操作性,0.000600776164550089,4,0,4,6,8,12,6,3,10,4,11,1,3,5,3,1,2,0,0,11,6,2,3,9,2,6,0,9,0,2,4,2,1,0,1,3,2,8,1,0,0,0,0,0,0,5,2,1,1,0,2,0,3,6,1,1,0,5,1,1,0,3,3,1,0,3,1,1,2,0,0,0,1,1,4,2,3,0,4,0
持ち,0.000544139124313915,0,0,22,30,0,0,5,0,6,4,7,0,1,0,0,9,2,0,0,0,0,6,1,0,0,0,0,0,0,2,1,3,1,5,0,0,2,0,0,6,0,0,0,0,1,0,9,0,0,0,6,0,2,1,0,0,0,0,2,0,1,0,1,1,2,5,1,0,0,1,0,0,0,5,2,0,0,0,1,4
携帯性,0.000540763738823144,11,0,6,3,2,12,3,1,12,5,11,0,1,6,3,1,1,0,0,12,2,3,0,2,5,3,0,0,0,1,10,3,1,2,0,1,4,1,3,2,0,1,0,0,1,0,1,1,0,1,5,0,2,17,1,0,1,4,0,1,1,0,0,7,0,5,0,0,0,0,0,0,1,0,3,1,1,0,5,2
満足度,0.000538095043614808,0,45,0,0,0,0,0,7,0,0,1,68,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,16,0,0,0,3,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,2,11,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
ホールド感,0.000424562333869483,3,0,3,5,5,6,14,1,4,2,9,1,1,5,0,1,1,0,0,4,0,0,1,4,0,9,0,0,0,3,2,7,0,0,1,3,1,1,1,3,0,0,0,0,1,3,0,5,2,0,1,1,3,4,3,0,0,2,0,4,1,2,0,2,3,1,1,0,2,1,0,0,2,2,2,0,2,0,3,0
質感,0.000372676623888847,1,5,4,1,5,5,4,9,4,2,2,2,1,2,0,4,1,2,0,2,3,1,1,2,0,1,0,2,2,0,5,0,4,0,6,5,0,6,0,0,0,4,2,0,0,0,0,0,4,2,0,3,4,0,6,0,0,0,1,0,1,2,3,1,1,0,0,2,1,1,2,0,4,0,1,1,0,0,1,0
写り,0.000296224742555093,7,0,4,2,4,4,4,0,5,1,6,0,1,1,0,5,2,0,1,4,2,0,0,0,0,1,0,2,0,1,7,3,4,1,0,0,2,2,2,0,0,1,0,0,1,3,0,8,0,0,2,0,1,0,1,0,0,0,4,0,2,0,1,0,2,0,0,0,1,0,0,3,0,0,0,0,2,0,1,0
デザイン,0.000263634873791898,1,0,7,0,3,7,2,0,11,2,0,0,0,1,0,1,1,0,0,11,4,1,1,2,0,1,0,6,0,2,3,2,2,0,0,3,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,5,0,2,0,0,1,0,0,0,0,4,2,3,0,0,4,1,0,1,1,1,0,1,0,0,1,2,0
完成度,0.000232680518042812,0,37,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,1,1,3,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
気持ち,0.000228466803613699,13,0,7,0,0,0,0,0,0,2,1,0,9,0,0,9,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0
レスポンス,0.000185380825947019,2,0,8,6,6,6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
評判,0.000182736086887662,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,0.000177961567741069,5,0,1,1,1,1,10,0,2,0,8,1,0,0,0,1,2,1,0,6,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,1,1,0,0,0,0,1,0,1,3,0,1,5,0,0,0,1,0,4,2,0,2,1,0,1,0,2,2,6,0,0,2,0,1,0,3,1,0,2,1,1,0,0,0
性能,0.000172851238936911,5,1,2,0,0,3,0,2,3,0,1,1,0,0,12,2,1,2,0,4,0,4,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,3,0,0,0,0,0,2,0,0,1,1,0,0,1,0,1,0,0,2,0,0,0,1,1,0,0
解像度,0.000161284931877102,0,5,1,1,0,1,1,6,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,8,0,1,1,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1
発色,0.000159214350262263,1,0,0,2,3,3,2,0,0,0,1,0,0,6,0,3,0,0,1,2,0,0,1,4,0,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,1,0,3,2,1,0,2,0,0,0,0
描写,0.000148989077321662,2,0,0,0,1,6,5,0,0,0,4,1,1,0,1,1,4,0,0,5,0,0,0,3,1,0,0,0,0,2,0,1,1,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0
精度,0.000142859296503077,2,1,2,2,2,1,1,4,2,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
