"",weight,の良い,の高い,が良い,が悪い,が良く,が高い,も良く,は良いです,は良いと,は高いです,が良いです,はありません,は高いと,がいいです,を考えると,もよく,がいい,は思います,が良いと,に優れた,がよく,も良いと,のよい,がよい,も良いです,が高いです,の取れた,は良好です,はいいと,は最高です,が良いので,はいいです,が高く,も良い,は良い,を考えれば,もいいです,が悪いと,が高いと,も高く,は良く,は高い,が悪く,があります,のとれた,があり,もありません,もいい,がいいと,が悪いです,がいいので,が高いので,はしました,はあります,は感じです,は抜群です,はいいですね,も良いので,が弱いです,のある,の悪い,はありますが,が良くて,はします,はありませんが,も良好です,は悪いです,になります,も満足しています,がいいですね,がよいです,は高く,が感じます,は最高だと,といい,はよいです,もなく,は良いのですが,は5です,が良くない,もいいですね,も高い,にありません,も含めて,はよいと,がある,は良いですね,をする,は思いますが,が悪いので
weight,"",0.00102235896426085,0.000965038802045353,0.000717446145536917,0.000515774688152427,0.000461544151922737,0.000429334864769252,0.000425480099532965,0.000416229572467081,0.000386796261320472,0.000378389086367997,0.000340517073483093,0.000339193000066143,0.000315633257012889,0.000292437092625062,0.000290859780816653,0.000289405649331894,0.000265052279223591,0.000243867183148834,0.000241567052773452,0.00022842798449199,0.000214285376184085,0.000210520201169141,0.000210394383258838,0.000209589201033115,0.000196765062915085,0.000186595330010679,0.000185004097267568,0.000168420653544012,0.000162951145756796,0.000155341902485417,0.000152857677879641,0.000151869178565209,0.00015009432189489,0.000138052341354965,0.000136197107419185,0.000135446458487394,0.000130335514491899,0.000128126186503943,0.000127548616022735,0.000127150672142324,0.000126338002764979,0.00012491490437028,0.000120265366547749,0.000116909323910369,0.000111478469258651,0.00010773777291512,0.000106439611394737,0.000106390932358253,0.000103952594104621,0.000103036294006945,9.91173435583675e-05,9.79894119367981e-05,9.64539559122528e-05,9.63002238135471e-05,9.59752373661531e-05,9.49129900365845e-05,9.36219322553238e-05,9.07562117466271e-05,8.71922640346577e-05,8.70595352248665e-05,8.40986758297803e-05,8.25968780557089e-05,8.18345438887419e-05,7.96645256412773e-05,7.93960368019441e-05,7.92337825753523e-05,7.33422367547224e-05,7.29685323718943e-05,7.23417079307198e-05,7.1975418027021e-05,7.11524836188274e-05,7.0538087466111e-05,6.97872911533587e-05,6.82921044827005e-05,6.72617229874126e-05,6.2697232831389e-05,6.25422671214985e-05,6.23015984062338e-05,6.19318457302201e-05,6.13468962477204e-05,6.12993785985812e-05,6.11062821394154e-05,6.10126000953296e-05,6.04978378067436e-05,5.97037510920172e-05,5.89686827894558e-05,5.87944471320154e-05,5.85273287081809e-05,5.80057789748044e-05,5.789650360655e-05
バランス,0.00154071747947772,20,2,14,6,10,2,6,5,8,0,7,0,0,3,8,5,4,0,9,0,5,11,6,3,4,1,27,3,4,0,2,0,0,1,2,5,0,4,0,0,3,0,2,0,19,0,0,2,4,2,0,0,0,0,0,1,2,3,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1
画質,0.00135372462483737,2,0,24,12,6,0,14,13,19,0,6,18,0,6,2,11,9,28,13,1,1,6,1,1,5,0,0,2,11,7,5,11,0,10,7,2,9,4,0,0,7,0,0,1,0,1,6,4,1,4,1,0,3,6,2,1,2,0,0,0,2,9,2,7,4,2,3,5,11,1,0,2,0,1,3,2,5,4,1,1,1,0,3,1,1,0,5,2,7,2
コストパフォーマンス,0.00114422433995065,5,36,5,0,1,14,1,4,8,4,0,0,24,0,10,1,1,2,2,33,0,2,0,3,0,4,0,0,1,9,0,1,4,0,0,3,0,0,6,4,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,3,3,0,2,2,0,1,0,0,0
満足度,0.00097414416124009,0,45,0,0,0,7,0,0,0,68,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,1,0
使い勝手,0.000949593796322158,12,0,17,7,10,0,4,10,5,0,15,4,0,12,4,4,1,1,6,0,5,1,5,6,1,0,0,5,3,2,3,3,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,5,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0
操作性,0.000843971244335492,4,0,4,6,8,3,12,6,10,1,4,11,0,3,3,5,1,11,2,2,3,6,0,2,9,0,0,6,9,1,2,4,1,8,2,1,3,0,0,0,2,0,0,0,0,1,1,5,0,2,2,0,5,1,3,6,1,1,0,0,1,3,0,0,1,3,3,0,2,1,1,0,0,0,1,4,2,4,0,1,0,0,3,1,0,0,1,0,3,0
携帯性,0.000777018624906868,11,0,6,3,2,1,12,3,12,0,5,11,0,1,3,6,1,12,1,5,0,2,0,3,2,0,0,3,0,1,1,10,0,1,3,3,1,2,1,1,4,0,2,0,0,0,1,0,1,1,5,1,4,1,2,17,0,1,0,0,0,0,1,0,7,0,5,0,0,0,0,0,0,0,1,3,1,5,0,0,1,0,1,0,2,0,1,0,2,2
持ち,0.000743619822795662,0,0,22,30,0,0,0,5,6,0,4,7,0,1,0,0,9,0,2,0,1,0,0,6,0,0,0,0,0,1,2,1,0,0,3,0,0,5,0,0,2,0,6,0,0,0,0,0,1,9,6,0,0,0,2,1,2,0,0,0,0,1,1,2,1,0,5,0,0,0,1,0,1,0,0,2,0,1,0,5,0,0,0,0,1,1,2,0,1,4
ホールド感,0.000597234776494785,3,0,3,5,5,1,6,14,4,1,2,9,0,1,0,5,1,4,1,0,1,0,0,0,4,0,0,9,0,0,3,2,1,1,7,1,3,0,0,0,1,0,3,1,0,2,5,3,1,0,1,0,2,3,3,4,0,4,0,0,0,0,1,3,2,2,1,0,2,0,1,0,1,0,2,2,0,3,0,2,0,0,2,0,1,0,1,0,2,0
