"",weight,の高い,は高いです,が高い,は高いと,が高いです,の良い,に優れた,が良い,を考えると,は高い,が高いと,が高く,は良いと,は良いです,は最高です,も高く,も良く,があります,は5です,はしました,はありません,が高いので,が良く,は思います,が悪い,は高く,は満点です,を考えれば,が良いです,もよく,も高い,のある,がいい,がいいです,も良いと,があり,がよい,が良いと,は最高だと,はあります,はしましたが,がある,はあると,はいいです,をしました,が低い,も良いです,は高いですね,のよい,はいいと,は最高ですね,があると,がよく,も良い,は5と,に優れていると,の強い,に優れている,はいいですね,もありません,は感じです,が良いので,はします,は良好です,から考えると,は抜群です,は大満足です,は抜群だと,はありますが,で言えば,が多い,が高かった,は素晴らしいです,を持った,は良く,の取れた,は抜群,といい,もいいです,も高いので,がいいので,もいい,はものです,を含め,は良い,もいいですね,をしたのは,も高いです,が悪く,が悪いと,も含めて,は低いです,が素晴らしい,はありませんが,はよいと,が得られる,は高いですが,は5ですが,は思いますが,を考えたら
weight,"",0.00743462168415265,0.00342326157301517,0.0031198108857823,0.0022716915669587,0.00173321441394798,0.00150837999088968,0.00137114168520235,0.00122124994622001,0.000972355768410606,0.000940794204772056,0.000936228133438724,0.000906500932004289,0.00087940702658171,0.000822756556475929,0.000696997410648162,0.000680377329900694,0.00067415376114428,0.00064420090156586,0.000642367608667083,0.000639345803742335,0.000624138640080979,0.000604898965943125,0.00060451109217904,0.000603069264431066,0.000584329793305702,0.000496062757691747,0.000482531541780865,0.000479057373414324,0.000443252904384768,0.000434954812245255,0.000428911426947217,0.000400753438574562,0.000396611246250004,0.000380866960144943,0.000375853339602666,0.000373456372938677,0.000368804638427248,0.000365239009452042,0.000361903291664919,0.000356556949800581,0.000348321733946103,0.000309138524947298,0.000306681110668922,0.000296894568958025,0.000296372013749148,0.000292010273724842,0.0002850528604032,0.000279854314805943,0.0002701660631651,0.000270141439258272,0.000267248301441199,0.000261582500967891,0.000248668217487081,0.000248661790786103,0.000245485144217781,0.000244372062284823,0.000242755434686005,0.000235317020814957,0.000234427954900347,0.000227111967228994,0.000227016400471254,0.000223135386549659,0.000221729688148777,0.000220949136716759,0.0002191150891435,0.000218980836841171,0.000215409580785333,0.000211839993324203,0.000210628700425913,0.000207544879647225,0.000204582053764998,0.000200337452888382,0.000199167304592653,0.000198703333942256,0.000198486919490873,0.000197510358702198,0.000197457592116971,0.000194392665121608,0.000193807737052076,0.000190570622556836,0.000189667871392586,0.000187876609996153,0.00018443261588741,0.000183787979593866,0.000183527689034358,0.000180932634890684,0.000180730693911822,0.000178172717721965,0.000175068463477978,0.000172304360998545,0.000171935411346013,0.000169566723321646,0.000169032070930657,0.000165825294556454,0.00016272105408268,0.000156150224738644,0.000150494592108996,0.000149420174359546,0.000147997500837184,0.000147378042237561
満足度,0.00946914992252099,45,68,7,10,16,0,0,0,0,13,3,2,0,0,3,0,0,0,14,11,1,2,0,1,0,6,10,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,2,0,4,1,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1,2,3,1,0
コストパフォーマンス,0.00773831921301749,36,4,14,24,4,5,33,5,10,2,6,4,8,4,9,4,1,0,0,0,0,2,1,2,0,0,0,3,0,1,3,0,1,0,2,0,3,2,9,0,0,0,1,1,0,0,0,2,0,1,3,0,0,0,0,7,0,3,3,0,0,0,0,0,3,2,0,5,0,1,0,0,3,3,0,0,4,1,0,1,1,1,0,3,0,3,0,1,0,0,2,0,2,0,2,0,1,0,0,2
完成度,0.00308309712343952,37,3,11,7,1,0,0,0,0,1,3,4,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
画質,0.00256109785683095,0,0,0,0,0,2,1,24,2,0,0,0,19,13,7,0,14,1,1,3,18,0,6,28,12,2,0,2,6,11,0,0,9,6,6,1,1,13,1,6,1,0,0,11,0,1,5,0,1,11,1,1,1,10,1,0,0,0,2,6,2,5,7,2,0,1,4,0,9,1,0,0,4,0,7,0,0,3,9,0,1,4,11,0,7,1,1,0,0,4,1,0,1,4,1,6,0,1,7,0
バランス,0.00204205494937815,2,0,2,0,1,20,0,14,8,0,0,0,8,5,0,0,6,0,0,0,0,0,10,0,6,0,0,5,7,5,0,0,4,3,11,0,3,9,1,0,0,0,0,0,0,0,4,0,6,4,0,0,5,1,0,0,0,0,2,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,2,0,0,2,0,0,0,2,4,1,0,0,0,1,0,0,0,0,1
質感,0.00201065350580844,5,2,9,2,2,1,0,4,0,2,2,6,4,4,4,4,5,3,0,0,2,0,5,2,1,0,0,0,2,2,0,2,4,1,3,4,1,1,0,6,0,1,0,5,0,1,2,0,0,2,0,2,1,6,0,0,0,0,1,0,4,0,1,1,0,0,0,0,3,0,0,0,1,1,0,0,0,4,5,0,0,0,1,0,0,0,0,2,0,0,3,0,1,1,0,0,0,0,1,0
携帯性,0.00199355378217596,0,0,1,0,0,11,5,6,3,0,1,0,12,3,1,1,12,0,0,4,11,1,2,12,3,0,1,3,5,6,0,0,1,1,2,0,3,1,0,1,1,0,0,10,2,0,2,0,0,0,0,1,0,1,0,1,0,4,0,1,2,1,0,3,1,17,1,0,0,1,0,0,1,0,4,0,6,1,1,0,5,0,2,0,3,1,4,0,2,2,0,0,0,7,2,0,0,1,2,1
評価,0.00198727359634647,12,2,4,0,2,1,0,0,0,0,3,4,1,0,1,0,0,1,6,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0
操作性,0.00168546683583275,0,1,3,0,0,4,2,4,3,0,0,1,10,6,1,0,12,0,0,5,11,0,8,11,6,0,2,1,4,5,0,0,1,3,6,1,2,2,0,1,0,0,0,4,3,0,9,0,0,9,0,0,3,8,0,1,0,0,1,1,3,2,0,6,0,6,0,0,3,0,0,0,0,0,2,0,0,1,3,0,2,5,2,0,2,0,5,0,0,0,1,0,1,1,0,0,0,0,3,0
