"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,気持ち,デザイン,質感,評判,レスポンス,コストパフォーマンス,発色,レンズ,性能,描写,色乗り,天気,相性,色のり,ホールド性,精度,出来,感触,価格,質,もち,視認性,ヌケ,切れ,色,感じ,値段,反応,重さ,重量バランス,感度,カメラ
weight,"",0.000245693385587809,0.000166258256760372,0.00013846553489904,0.000101466753656754,9.20642000584431e-05,8.49383561999633e-05,6.67503926139993e-05,5.3661474900043e-05,4.8594280449551e-05,4.60525785179622e-05,4.50552649036052e-05,3.88207305685704e-05,3.62605273908135e-05,3.59394745341907e-05,2.70232252536736e-05,2.68115533030071e-05,2.57387609889879e-05,2.50961087920225e-05,2.48111389325444e-05,2.18643355887639e-05,2.00260200358638e-05,1.78878965064763e-05,1.75988080495215e-05,1.72696249604176e-05,1.64896069563155e-05,1.63874911049777e-05,1.56897638928099e-05,1.56260907591743e-05,1.5236431959067e-05,1.44915888866969e-05,1.28189578881226e-05,1.22961589570124e-05,1.17913700776103e-05,1.17771271538732e-05,1.15866929593922e-05,1.15617159897966e-05,1.12683226901664e-05,1.12276446757323e-05,1.11460796630549e-05,1.05978160119322e-05
の良い,8.83009663192344e-05,20,2,12,4,0,11,3,7,13,1,1,14,2,5,1,5,5,2,2,15,1,1,0,2,5,0,0,4,0,2,5,4,0,0,0,2,0,0,1,3
が良い,5.30007262404162e-05,14,24,17,4,24,6,3,4,7,7,4,1,8,5,0,1,2,0,1,2,2,0,1,2,1,2,0,0,1,2,0,1,1,4,0,0,3,0,0,0
が良く,3.61831372954762e-05,10,6,10,8,0,2,5,4,0,3,5,0,6,1,3,1,0,1,2,0,1,1,4,2,0,1,0,1,0,0,2,3,0,0,0,1,0,3,2,0
が悪い,3.10403780988398e-05,6,12,7,6,36,3,5,2,0,0,1,0,6,0,2,1,0,0,0,0,0,0,2,2,0,0,0,2,7,1,0,0,2,0,0,2,0,1,2,0
も良く,3.02120070815785e-05,6,14,4,12,7,12,6,6,0,7,5,0,6,1,3,1,3,6,5,0,3,0,0,1,0,0,0,1,0,2,1,1,1,0,0,0,2,0,0,0
は良いです,2.69268657259339e-05,5,13,10,6,10,3,14,4,0,2,4,0,1,4,2,10,0,5,1,0,0,1,2,1,1,6,0,0,1,0,0,0,0,3,0,0,2,0,0,2
が良いです,2.68865285849589e-05,7,6,15,4,7,5,2,1,2,2,2,0,0,0,0,0,0,0,1,0,2,1,2,0,1,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0
は良いと,2.52256901513817e-05,8,19,5,10,8,12,4,5,0,11,4,0,1,8,0,2,3,0,0,0,1,1,0,2,0,1,0,0,1,0,0,0,1,1,0,2,0,0,0,1
がいいです,2.28456898417175e-05,3,6,12,3,6,1,1,1,9,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,1,0,0
もよく,2.08027067743955e-05,5,11,4,5,6,6,5,1,0,1,2,0,0,1,6,0,0,0,3,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
がいい,1.96695818556357e-05,4,9,1,1,10,1,1,5,9,1,4,3,1,1,3,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,2,0,0,0
が良いと,1.90982849960439e-05,9,13,6,2,2,1,1,2,0,1,1,0,0,2,0,2,1,4,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1
のよい,1.7959720428727e-05,6,1,5,0,0,0,0,1,3,0,0,3,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
がよく,1.63468935252576e-05,5,1,5,3,1,0,1,0,1,1,1,1,4,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0
も良いと,1.59207150168143e-05,11,6,1,6,1,2,0,2,0,4,3,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えると,1.5829320582099e-05,8,2,4,3,0,3,0,0,0,0,0,0,0,10,0,0,12,1,0,0,0,0,0,0,0,1,45,0,1,0,0,0,0,0,27,0,1,1,0,0
はありません,1.56795918684821e-05,0,18,4,11,9,11,9,6,1,0,2,0,1,0,1,8,1,4,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,6,0,0,1,0,0,6
の取れた,1.45796074964195e-05,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,1.41062692755087e-05,3,1,6,2,6,3,0,0,2,1,1,0,0,3,0,0,4,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
も良いです,1.35157044694744e-05,4,5,1,9,5,2,4,0,0,2,2,0,0,0,4,0,0,3,2,0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
は良好です,1.26890532557684e-05,3,2,5,6,0,3,9,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
は思います,1.23291204084863e-05,0,28,1,11,0,12,4,4,0,11,2,0,0,2,2,6,4,5,1,0,0,0,1,0,1,0,3,0,0,1,0,0,1,0,2,0,1,0,1,3
が良いので,1.1831068765633e-05,2,5,3,2,2,1,3,1,0,2,0,6,1,0,1,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
はいいと,1.164384085845e-05,4,11,3,9,0,0,0,2,0,6,2,0,0,1,0,3,3,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1
のとれた,1.02597237937767e-05,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いと,9.77208065080046e-06,4,4,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
は良い,9.72645281132888e-06,2,7,1,2,4,3,7,3,0,2,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
の高い,9.46745329499179e-06,2,0,0,0,0,0,0,0,0,0,5,3,0,36,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0
はいいです,9.37402478453761e-06,0,11,3,4,1,10,2,7,0,3,5,0,0,1,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
が悪く,9.2949097371958e-06,2,0,1,0,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0
は良く,9.0811672510369e-06,3,7,1,2,2,4,1,2,0,0,0,1,1,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
がいいと,8.33051073638389e-06,4,1,3,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
が高い,8.2392537912118e-06,2,0,0,3,0,1,1,0,0,0,9,0,0,14,0,0,2,0,0,0,0,0,1,4,0,0,9,1,0,0,0,0,0,0,9,0,0,0,0,1
もいいです,8.12117791254397e-06,0,9,1,3,6,1,3,0,0,3,5,0,1,0,1,0,0,1,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,2,1,0,2,1,0,0
も良い,7.94947317592943e-06,1,10,1,8,4,1,1,2,0,2,6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,0
を考えれば,7.65881110893463e-06,5,2,0,1,0,3,1,2,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,17,0,0,0,0,0
が悪いです,7.59746661989683e-06,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0
の悪い,7.43859569379813e-06,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
もいい,6.93592391412443e-06,2,4,1,5,0,0,3,3,0,2,0,2,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
がいいので,6.54198401009624e-06,0,1,1,2,6,5,1,2,1,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
が良くて,6.45514834351777e-06,1,2,1,0,2,1,1,2,0,0,1,0,1,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
は抜群です,5.90528995067531e-06,1,1,0,6,1,17,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
がよいです,5.88976606778051e-06,0,0,5,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
は最高です,5.78315455347484e-06,0,7,2,1,1,1,0,4,0,2,4,0,0,9,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
も良いので,5.64560872880918e-06,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,5.5184706938512e-06,1,1,4,1,0,0,0,0,1,4,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が感じます,5.11563529691849e-06,3,0,1,0,2,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も良好です,5.08082961321793e-06,0,2,1,3,1,0,2,0,0,0,2,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
は感じです,4.99032639419114e-06,0,2,0,3,2,2,3,1,0,5,4,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
もありません,4.87955087052613e-06,0,6,1,1,0,1,5,8,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
はいいですね,4.77804903295013e-06,2,2,0,1,2,0,0,4,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1
に優れた,4.76583039380315e-06,0,1,0,2,0,5,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
になります,4.72719695175182e-06,1,5,0,0,0,0,0,3,2,1,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,1,0,0,0,0,3
が良くない,4.52175370000225e-06,1,1,1,1,5,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も満足しています,4.37946961334378e-06,1,11,0,2,1,0,2,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
は悪いです,4.33761429907256e-06,1,3,0,3,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,4.32201545869881e-06,0,1,0,1,0,0,2,0,1,0,4,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,4,0,1,1
も悪くなく,4.11145678219249e-06,1,3,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
はします,4.07891982285852e-06,1,7,0,0,2,0,3,2,0,3,1,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,2
はよいです,3.96938396368947e-06,1,2,0,4,3,3,2,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
は良いのですが,3.80281779987481e-06,0,4,0,4,1,5,3,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にありません,3.76547011906127e-06,0,3,1,3,1,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
が良いのか,3.73377741689077e-06,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
をする,3.70990312956744e-06,0,2,0,0,0,0,0,18,0,0,0,0,0,0,2,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
を考えて,3.68531657505269e-06,2,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
もなく,3.66700982617075e-06,1,5,1,2,1,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
は悪くないと,3.64268875346066e-06,1,1,2,1,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
が悪いので,3.59730936959641e-06,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
といい,3.58117517980655e-06,0,3,0,1,0,1,2,0,0,1,4,0,0,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はよいと,3.57448240179961e-06,1,1,1,0,1,2,1,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は良いですね,3.53592061044759e-06,1,5,1,1,2,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は気に入っています,3.49463395057661e-06,1,5,1,1,0,0,2,0,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
は満足しています,3.39181196073183e-06,0,8,1,1,0,2,0,3,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
には満足しています,3.38407490270236e-06,0,12,1,1,1,1,1,3,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
は高いと,3.38359102287535e-06,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
もいいですね,3.32682390432101e-06,0,1,1,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も含めて,3.29725628106589e-06,1,1,1,1,0,0,0,0,0,2,3,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
はあります,3.24683876169858e-06,0,6,0,1,0,1,3,1,0,2,6,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3
が良くなりました,3.24282120143936e-06,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
