"",weight,バランス,画質,使い勝手,操作性,携帯性,持ち,ホールド感,写り,コストパフォーマンス,質感,デザイン,気持ち,評判,レスポンス,レンズ,描写,性能,発色,色乗り,天気,相性,感触,精度,色のり,ホールド性,価格,もち,出来,質,感じ,視認性,ヌケ,感度,不満,値段,カメラ,色,重量バランス,切れ,大きさ,操作感,重さ,反応,機能,液晶,ボケ味,解像度,画像,位置,描写力
weight,"",0.000411902687321678,0.000301224134424529,0.000256711328260517,0.000192581532128874,0.000168624828752683,0.000163390496499939,0.000135020216482581,9.97870675323387e-05,9.07553224146945e-05,8.93657668687762e-05,8.76110384174442e-05,8.75231095050622e-05,6.74532831073428e-05,6.64631694079871e-05,5.07578474646645e-05,5.06704153256553e-05,4.91244678081903e-05,4.85227898835842e-05,4.5390362787731e-05,3.61842309269446e-05,3.58884137881768e-05,3.29211405405142e-05,3.28877499475774e-05,3.286042404737e-05,3.16522874697544e-05,3.02496218087947e-05,2.84922862042324e-05,2.75299138183471e-05,2.63974657382172e-05,2.55487745737109e-05,2.53174489376963e-05,2.32372275227048e-05,2.28924740576012e-05,2.28923284511966e-05,2.11716962831139e-05,2.10462359089285e-05,2.09603214903356e-05,2.06351728567986e-05,2.05382805675287e-05,2.05351993096197e-05,2.00058824318658e-05,1.98853587027739e-05,1.9657829161963e-05,1.90132360618603e-05,1.87961486386638e-05,1.85380577664637e-05,1.80993380632869e-05,1.785586523119e-05,1.75597174879177e-05,1.69775329784189e-05
の良い,0.000153789061685886,20,2,12,4,11,0,3,7,5,1,1,13,14,2,5,2,5,1,2,15,1,0,2,1,0,0,0,5,4,0,2,5,1,0,0,3,0,0,4,0,0,0,2,0,1,0,0,0,0,0
が良い,9.53899587935981e-05,14,24,17,4,6,24,3,4,5,4,7,7,1,8,1,0,2,0,1,2,2,2,2,0,1,0,1,1,0,4,2,0,0,0,0,0,1,0,1,0,1,3,0,3,1,0,1,1,0,0
が良く,6.50548318074227e-05,10,6,10,8,2,0,5,4,1,5,3,0,0,6,1,1,0,3,2,0,1,1,2,1,4,0,0,0,1,0,0,2,2,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0
が悪い,5.67738969515942e-05,6,12,7,6,3,36,5,2,0,1,0,0,0,6,1,0,0,2,0,0,0,0,2,0,2,0,7,0,2,0,1,0,2,0,0,0,2,1,0,0,0,0,2,1,0,0,1,1,5,0
も良く,5.52929996331013e-05,6,14,4,12,12,7,6,6,1,5,7,0,0,6,1,6,3,3,5,0,3,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,1,0,2,0,0,0,1,1,0,0,1
は良いです,5.0988654703251e-05,5,13,10,6,3,10,14,4,4,4,2,0,0,1,10,5,0,2,1,0,0,6,1,1,2,0,1,1,0,3,0,0,0,0,0,2,0,0,0,2,1,2,0,0,7,0,1,2,0,1
が良いです,4.8897442863461e-05,7,6,15,4,5,7,2,1,0,2,2,2,0,0,0,0,0,0,1,0,2,2,0,1,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
は良いと,4.68872451849865e-05,8,19,5,10,12,8,4,5,8,4,11,0,0,1,2,0,3,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,2,1,2,0,0,0,0,1
がいいです,4.14369561586695e-05,3,6,12,3,1,6,1,1,0,1,0,9,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
もよく,3.85827630662087e-05,5,11,4,5,6,6,5,1,1,2,1,0,0,0,0,0,0,6,3,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0
がいい,3.60835305019561e-05,4,9,1,1,1,10,1,5,1,4,1,9,3,1,1,1,2,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,2,2,0,1,0,0,0,0,0,0
が良いと,3.39905118963879e-05,9,13,6,2,1,2,1,2,2,1,1,0,0,0,2,4,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
はありません,3.17549923670211e-05,0,18,4,11,11,9,9,6,0,2,0,1,0,1,8,4,1,1,0,0,1,2,1,0,1,0,0,0,0,6,0,0,0,158,0,6,0,0,0,2,0,1,0,4,1,1,2,3,0,2
のよい,3.16141732136293e-05,6,1,5,0,0,0,0,1,0,0,0,3,3,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
を考えると,3.07637152924011e-05,8,2,4,3,3,0,0,0,10,0,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,45,1,0,0,0,0,0,0,0,27,0,0,1,0,8,0,1,0,8,0,0,0,0,0,1
