"",weight,バランス,画質,使い勝手,操作性,コストパフォーマンス,携帯性,持ち,満足度,ホールド感,質感,写り,デザイン,気持ち,完成度,評判,レスポンス,レンズ,性能,描写,発色,解像度,不満,精度,価格,色乗り,コントラスト,相性,使用頻度,評価,値段,感触,天気,色のり,ホールド性,もち,質,感じ,感度,視認性,出来,満足感,カメラ,機能,解像感,描写力,液晶,大きさ,ヌケ,重さ,バッテリー,色,切れ,補正,ボケ味,画像,重量バランス,操作感,AF,反応,ボケ,位置,問題,AF精度,機能性,CP,音,取り回し,ホールド,色合い,条件
weight,"",0.000744951062457788,0.000588981165551753,0.00046684958484858,0.000379619929848027,0.00037526102832036,0.000342231911093553,0.000319048851530593,0.000307462910602587,0.000265011865834351,0.000232848895092688,0.000196465855472595,0.000170671100933375,0.000156868395431585,0.000135020030882273,0.000126975096427086,0.000121205688917505,0.000113824441081541,0.000109349453443971,0.000100693882993864,9.60323515383483e-05,9.04292931001966e-05,9.02913388085076e-05,8.64594402100749e-05,8.50335192082536e-05,8.25509623189627e-05,7.37435717903267e-05,6.6774498080259e-05,6.60395461387257e-05,6.49953570970563e-05,6.49530760610715e-05,6.38888757615389e-05,6.35336281501704e-05,6.03483376428753e-05,5.86144641893855e-05,5.81780752978309e-05,5.61479148607579e-05,5.58574658038386e-05,5.14296729462868e-05,5.06107495381399e-05,4.942941012325e-05,4.85428871987292e-05,4.81469431455346e-05,4.7860553903778e-05,4.7793290802149e-05,4.60079705860964e-05,4.36586726962736e-05,4.18036080354515e-05,4.13061184765566e-05,4.10795387671783e-05,4.09312107806296e-05,4.08682372370764e-05,3.94380192408182e-05,3.81690863783184e-05,3.77225378014684e-05,3.72407105122277e-05,3.71268555472362e-05,3.70963648374732e-05,3.67127578059225e-05,3.56878898175892e-05,3.53187086850421e-05,3.29320811292004e-05,3.1581462210752e-05,3.15376386392854e-05,3.07446920439354e-05,3.04864461497807e-05,3.01065238387036e-05,3.00263238285007e-05,2.94162166229354e-05,2.92297652106225e-05,2.70709787382133e-05
の良い,0.000287331187972092,20,2,12,4,5,11,0,0,3,1,7,1,13,0,14,2,5,5,2,1,0,0,2,0,2,1,1,0,1,0,0,15,1,0,0,4,0,1,2,5,0,3,0,0,0,1,0,5,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2
の高い,0.00022833602351679,2,0,0,0,36,0,0,45,0,5,0,0,0,37,3,0,0,1,0,0,5,0,1,0,0,11,0,10,12,1,0,0,0,0,0,2,0,2,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
が良い,0.000187638648781224,14,24,17,4,5,6,24,0,3,4,4,7,7,0,1,8,1,2,0,0,1,0,2,0,1,1,2,0,0,0,2,2,0,1,1,0,4,0,2,1,0,0,3,0,0,1,0,0,3,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,1
が良く,0.000122689520748038,10,6,10,8,1,2,0,0,5,5,4,3,0,0,0,6,1,0,1,3,0,0,2,0,2,0,1,0,0,0,1,0,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
も良く,0.0001126675667912,6,14,4,12,1,12,7,0,6,5,6,7,0,0,0,6,1,3,6,3,1,0,1,0,5,1,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,1,1,2,0,1,1,0,1,0,0,0,0,0,4,0,0,1,0,0,1,2,0,1,0
が悪い,0.000111565985739034,6,12,7,6,0,3,36,0,5,1,2,0,0,0,0,6,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,7,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,2,0,5,0,2,0,0,1,0,0,0,2
は良いです,0.000106694775548067,5,13,10,6,4,3,10,0,14,4,4,2,0,0,0,1,10,0,5,2,1,0,1,0,1,0,0,0,0,0,6,0,1,2,1,0,3,0,0,1,0,2,0,1,1,7,2,0,2,5,0,0,0,0,2,0,1,2,0,1,0,0,1,3,0,0,0,5,0,0
が高い,0.000105166104722134,2,0,0,3,14,1,0,7,1,9,0,0,0,11,0,0,0,2,0,0,6,0,4,9,0,5,0,11,4,9,0,0,0,1,0,1,0,0,0,0,3,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
は良いと,9.88538168128057e-05,8,19,5,10,8,12,8,0,4,4,5,11,0,0,0,1,2,3,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,2,1,0,0,1,1,0,1,0,0,0,1,0,2,0,0,0,0,3,0,0,0,1,1,0
が良いです,9.32221280326079e-05,7,6,15,4,0,5,7,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
は高いです,9.08738247708253e-05,0,0,0,1,4,0,0,68,1,2,0,0,0,3,0,0,1,1,1,0,2,0,1,1,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
はありません,8.40939099214992e-05,0,18,4,11,0,11,9,1,9,2,6,0,1,0,0,1,8,1,4,1,2,158,1,0,0,0,1,1,0,0,2,0,0,1,0,0,6,0,0,0,0,6,4,0,2,1,2,0,1,9,0,0,1,1,3,0,0,6,0,0,0,36,1,1,0,0,0,1,0,0
がいいです,7.91108134892975e-05,3,6,12,3,0,1,6,0,1,1,1,0,9,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0
もよく,7.55110250766871e-05,5,11,4,5,1,6,6,0,5,2,1,1,0,0,0,0,0,0,0,6,1,0,0,0,3,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,1,2,0
を考えると,7.05019453375493e-05,8,2,4,3,10,3,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,45,0,0,0,1,0,27,1,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
がいい,6.94682114409705e-05,4,9,1,1,1,1,10,0,1,4,5,1,9,0,3,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
が良いと,6.50853866406621e-05,9,13,6,2,2,1,2,0,1,1,2,1,0,0,0,0,2,1,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は高いと,6.35692431831592e-05,0,0,0,0,24,0,0,10,0,2,0,0,0,7,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のよい,5.94926878412664e-05,6,1,5,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
も良いと,5.6333729597814e-05,11,6,1,6,2,2,1,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
がよく,5.59562609477129e-05,5,1,5,3,0,0,1,0,1,1,0,1,1,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
は思います,5.44031069061083e-05,0,28,1,11,2,12,0,1,4,2,4,11,0,0,0,0,6,4,5,2,1,0,0,3,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,1,3,1,0,0,5,0,0,1,3,1,0,3,2,1,0,0,2,0,0,0,1,1,1,0,0,0,0,3,0
がよい,5.29455842351545e-05,3,1,6,2,3,3,6,0,0,1,0,1,2,0,0,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1
に優れた,5.12702642149233e-05,0,1,0,2,33,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
も良いです,5.01666951749638e-05,4,5,1,9,0,2,5,0,4,2,0,2,0,0,0,0,0,0,3,4,0,0,1,0,2,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
は良好です,4.50352833438152e-05,3,2,5,6,0,3,0,0,9,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
の取れた,4.42058872227698e-05,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いです,4.28734734457977e-05,1,0,0,0,4,0,0,16,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,4.27962502260038e-05,4,11,3,9,1,0,0,0,0,2,2,6,0,0,0,0,3,3,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
が良いので,4.22080570530287e-05,2,5,3,2,0,1,2,0,3,0,1,2,0,0,6,1,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
はいいです,3.8950808139976e-05,0,11,3,4,1,10,1,0,2,5,7,3,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,2,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
は最高です,3.72986346186923e-05,0,7,2,1,9,1,1,3,0,4,4,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0
は良い,3.57937494719933e-05,2,7,1,2,0,3,4,0,7,0,3,2,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
が高く,3.5133287705507e-05,0,0,0,1,4,0,0,2,1,6,0,0,0,4,0,0,0,1,0,0,8,0,0,1,0,1,0,2,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が悪いと,3.47805532413615e-05,4,4,1,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
は良く,3.33083303844318e-05,3,7,1,2,0,4,2,0,1,0,2,0,0,0,1,1,1,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
もいいです,3.31815532747985e-05,0,9,1,3,0,1,6,0,3,5,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,0,1,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
を考えれば,3.2971963179285e-05,5,2,0,1,3,3,0,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,27,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪く,3.25992525550919e-05,2,0,1,0,0,2,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0
も良い,3.16239809302663e-05,1,10,1,8,0,1,4,0,1,6,2,2,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
は高い,3.13234998863897e-05,0,0,0,0,2,0,0,13,0,2,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
のとれた,3.11078465641714e-05,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も高く,2.93573861404276e-05,0,0,0,0,4,1,0,0,0,4,1,0,0,3,0,0,0,0,0,0,7,0,3,2,0,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,2.84908585015861e-05,4,1,3,0,0,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
もいい,2.75801333950045e-05,2,4,1,5,1,0,0,0,3,0,3,2,0,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,2,0,0,0,1,0,0,0,1,1,0
が悪いです,2.67172903910062e-05,2,4,2,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,2.66959813301712e-05,0,6,1,1,0,1,0,0,5,0,8,1,0,1,0,0,1,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,0,1,1,1,0,0,1,0,0,2,3,1,0,0,1,0,0,0,21,1,0,0,0,0,0,0,0
が高いと,2.66312789732144e-05,0,0,0,0,6,1,0,3,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
がいいので,2.55980950132407e-05,0,1,1,2,1,5,6,0,1,0,2,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
