"",weight
持ち,0.312410655974282
画質,0.247989168235704
バランス,0.186773167820054
使い勝手,0.16864316671337
操作性,0.111682024403769
携帯性,0.0922619579529012
ホールド感,0.0849390536963719
レスポンス,0.0813144100568132
写り,0.0557418272319553
もち,0.0499276447472072
質感,0.045825363647899
デザイン,0.0430040954616423
気持ち,0.038917740381899
コストパフォーマンス,0.0319532142925107
精度,0.0277169695165515
レンズ,0.0250319901805246
発色,0.0248048733394115
位置,0.0242649375819411
ホールド性,0.0239939205164817
色,0.0217601198435092
視認性,0.0215279857651812
機能,0.0197744391984969
条件,0.0189824640736246
性能,0.0186687246825507
評判,0.0179192506133997
感じ,0.0173399003485454
相性,0.0161453167021745
描写,0.0159641095331465
画像,0.0157184877081938
感触,0.0157139358768178
解像度,0.0156741255549373
色乗り,0.0155510878072624
目,0.0155318948784292
感度,0.015287040934758
・画質,0.0151654238007402
AF,0.0146762686086533
質,0.0144650594745832
重さ,0.0133904994754158
AF精度,0.0132972080041041
反応,0.0131801828228822
グリップ感,0.0124026845748155
不満,0.0123505636740962
天気,0.0120083122604916
ハンドリング,0.0103888123149861
・操作性,0.0103548860430668
見え,0.0101052717570259
重量バランス,0.0100717892059465
液晶,0.00995517896674857
バッテリー,0.0094752759383905
音,0.00912063418652115
色のり,0.00911038230089824
操作感,0.00866937764253588
解像感,0.00853109327279023
出来,0.00803287615206006
ボケ,0.00766681401495303
ホールド,0.00732974302532055
切れ,0.00718523360032098
コントラスト,0.00689168774957259
価格,0.00681240992834758
大きさ,0.0065721780437749
カメラ,0.00656750919907802
気分,0.00646852026535556
ボケ味,0.00644800936454512
描写力,0.00628475759305783
フィーリング,0.00625560587237205
補正,0.00616294385232266
ヌケ,0.00576688810711719
・デザイン,0.00561015515551692
品質,0.00561010791135378
音質,0.0053432662579599
CP,0.00525786848470894
映り,0.00524924198023525
機種,0.00513946815056067
問題,0.00511713847022316
値段,0.00509153250471508
背面液晶,0.00505225842234102
光,0.00503516775740954
見た目,0.00499550124122472
調子,0.00493627578378877
取り回し,0.00492707744450022
・携帯性,0.00486086675272696
グリップ,0.00465648773842367
キレ,0.00461254502200905
色合い,0.0046077394391545
組み合わせ,0.00459314508690745
サイズ,0.00452420453993498
①操作性,0.00451637422293679
よい,0.00446709815490808
見栄え,0.00441188662014081
動画,0.00434814552683495
3．ホールド感,0.0043457203943897
機能性,0.00427758024952223
付属ソフト,0.00424646726326124
収納性,0.00423151559324262
自分,0.00421650369547125
場合,0.00418843611074107
(?),0.00413866645629666
持ち運び,0.00413745072400051
作り,0.00396306834928515
応答性,0.0039414039746166
シャッター音,0.00391301140450175
部分,0.00389588014215185
D80,0.00385498420814866
バッテリー持ち,0.00385167691270164
全長,0.00380421003332723
(9)携帯性,0.00369992023956786
(視力,0.00369992023956786
ボタン位置,0.00369992023956786
モチ,0.00369992023956786
ライン,0.00369992023956786
半押し,0.00369992023956786
取り付け位置,0.00369992023956786
合わせ,0.00369992023956786
売れ行き,0.00369992023956786
始末,0.00369992023956786
少し分,0.00369992023956786
工作精度,0.00369992023956786
態度,0.00369992023956786
掛かり,0.00369992023956786
構造,0.00369992023956786
立て付け,0.00369992023956786
製造品質,0.00369992023956786
記述,0.00369992023956786
都合,0.00369992023956786
電力事情,0.00369992023956786
製品,0.00367943540465464
マッチング,0.00367769684553274
ホワイトバランス,0.0036676693880587
フットワーク,0.00366647356761489
ズーム,0.00364288233001333
センス,0.00355609751832544
造り,0.0034763978398172
子供,0.00347215329332817
まとまり,0.00345243015992126
設定,0.00344354462438707
満足度,0.00333884569980821
絵,0.00330033907837977
レンズ性能,0.00327873029591592
人,0.00319577253583511
表現力,0.00313044657674097
電池持ち,0.00310997709881308
トータルバランス,0.00301773680975446
・ホールド感,0.00296489218921993
汎用性,0.00294299144916552
高感度画質,0.00293660245166837
評価,0.00292751885434689
皆さん,0.00289940430955186
グリップ性,0.00283897164763109
完成度,0.00283586224035538
重い,0.00282604936097649
重量感,0.00282384757504094
フラッシュ,0.00281762935287888
ファインダー,0.00278779658358371
指,0.0027804409648261
形式,0.00274172721639845
撮影,0.00271809569840416
ない,0.00271546383370208
ボケ具合,0.00270819919474474
画角,0.00262799216456682
写真,0.00261409425127038
出番,0.00261368062110961
機動性,0.00260863227224605
ライブビュー,0.00248227251195261
雰囲気,0.00246536627114038
価格設定,0.00245569519472455
リング,0.00231820846889016
EVF,0.00228098654679039
悪さ,0.00226848721923071
ボリューム感,0.00221633649648753
(色調・解像度),0.00217286019719484
0付近,0.00217286019719484
1)機動性,0.00217286019719484
135mm近辺,0.00217286019719484
16-45mmf4,0.00217286019719484
2)バッテリー,0.00217286019719484
20mm,0.00217286019719484
2点,0.00217286019719484
3)コストパフォーマンス,0.00217286019719484
3．防塵防滴性能,0.00217286019719484
5．マクロ性能,0.00217286019719484
968C,0.00217286019719484
ADJボタン,0.00217286019719484
DA21mm,0.00217286019719484
FZシリーズ,0.00217286019719484
PF,0.00217286019719484
SR8,0.00217286019719484
「水族館」,0.00217286019719484
が,0.00217286019719484
アルミ・ボディ,0.00217286019719484
カラーナイトビュー,0.00217286019719484
コストメリット,0.00217286019719484
バリオテッサー,0.00217286019719484
ピンク,0.00217286019719484
フロントキャップ,0.00217286019719484
ホールド感),0.00217286019719484
・レンズ,0.00217286019719484
・描写,0.00217286019719484
中央,0.00217286019719484
修正,0.00217286019719484
問題無しホールド感,0.00217286019719484
工学ズーム,0.00217286019719484
液晶パネル,0.00217286019719484
濃さ,0.00217286019719484
無い,0.00217286019719484
画像処理エンジン,0.00217286019719484
画像編集メニュー,0.00217286019719484
竭。映り,0.00217286019719484
縦グリ,0.00217286019719484
肌,0.00217286019719484
肌触り感,0.00217286019719484
手触り,0.00209172175070247
ホールディング,0.00204112957083867
程度,0.00200813310044875
配置,0.00199016401119892
望遠,0.00187609130228415
軽さ,0.00185652688177344
追従性,0.00168605657745648
格好,0.0016511378500784
使用頻度,0.00164402654428919
利便性,0.00160808918582012
描写性能,0.001590037728412
出来栄え,0.00153411200560237
デジカメ,0.00153312794378085
腕,0.00152139807630671
効果,0.0015183943742856
違和感,0.00146110157748232
操作,0.00142985527341734
ノイズ,0.00141264069780814
クリック感,0.00136553419503427
再現性,0.00133480755295378
あと,0.00131975871830646
焦点距離,0.00128221022212787
ケース,0.00127197771002759
液晶画面,0.00126247378880513
ストラップ,0.00124516498163611
トルク,0.00122527337351352
文句,0.00122451333176056
ホールディング性,0.00122319922595676
花形フード,0.00121272378593429
切れ味,0.00119319674452957
階調性,0.00117053978703264
色ノリ,0.00116731928806108
素性,0.00115186199061755
対応,0.00114617254737334
画素数,0.00113373009697695
フード,0.00113015452058742
ダイヤル,0.00112953304309733
マクロ,0.00111626149109793
ピント精度,0.00108974526611315
不満点,0.0010693453740594
画面,0.00105632614981785
色味,0.00104997660591887
画,0.00103811577459938
他,0.00103467641453182
ボディ,0.00103343301042425
コレ,0.00103327882020237
よさ,0.00102196366082225
外観,0.00101631825413984
使用感,0.00100432683531508
手ブレ補正,0.00100411232717889
ロック,0.00100212346327932
AF性能,0.000997380179692471
ヒット率,0.000993564825733822
状態,0.00098686752523427
点画質,0.000985029231786554
つくり,0.000977543972276108
天候,0.000975022498052792
指かかり,0.000959273865992884
気,0.000950383010913213
機能面,0.000948946011845026
フルタイムマニュアル,0.00093491065040948
歯切れ,0.000931935576125716
IS,0.000930251922235049
具合,0.000929737794641699
愛称,0.000914592040174673
シャープさ,0.000908664357534435
満足感,0.000897783358828922
ボタン類,0.0008907351317955
ISO,0.000890188427631179
歩留まり,0.000890144767607454
ノイズ処理,0.000889975010142998
品,0.00087746832597891
スタイル,0.000877163703483216
可,0.000873153096935821
印象,0.000864785605547065
辺,0.000862681412801372
感想,0.000860660740982457
一眼,0.000859330314039232
良さ,0.000854061972340668
タッチパネル,0.000851939015101592
高感度,0.00083078288300003
差,0.000826243029477035
ボディバランス,0.000825675653386136
マクロ性能,0.000825675653386136
コンデジ,0.000817015991744976
VR,0.000808271783080526
D3,0.000799736585913416
安っぽさ,0.000795463899136206
重量,0.000777620712195275
露出補正,0.000767813866969377
顔認識,0.000767246714204526
速度,0.000762942734484758
心地,0.000753049912668282
商品,0.000745465771144658
接写,0.00074383806897397
仕上がり,0.000742966903485048
今,0.000731971053026885
5D,0.000731597775084967
D40,0.000728653612243699
ストレス,0.000721816405600334
サービス,0.00071479305858781
赤,0.000701430964435538
重くもな,0.000699989220099195
一眼レフ,0.000686962345606826
これから,0.000686905587174503
動作,0.00068682516955165
高感度性能,0.000686331330093927
あたり,0.000682277127121471
WB,0.000677672986670743
