"",weight
が良い,0.572784419482455
が悪い,0.559192014512188
の良い,0.0449820042626847
は良いです,0.0305653658403359
が良く,0.030410841861348
も良く,0.030201559806675
が良いです,0.0269291880770109
は良いと,0.0266655589079786
がいいです,0.0225731557255952
がいい,0.022132655847674
はありません,0.0217859855562182
もよく,0.0183511686711417
がよい,0.0160337962358228
が良いと,0.0160067410608273
がよく,0.015399964777134
も良いです,0.0140093086874251
が悪いです,0.0129713534394745
も良いと,0.0122244327255989
は思います,0.0120494253414244
を考えると,0.0118732889679759
が悪く,0.0117473644614724
は良好です,0.0115370787105229
もいいです,0.0114789928537234
はいいと,0.0111115375777126
も良い,0.0110648243847817
のよい,0.0108083428991208
が悪いと,0.0106078435758786
は良い,0.0103802491190858
が良いので,0.0101989158213547
がいいので,0.00942814703751758
の取れた,0.00939872038990727
は良く,0.00931334701913498
はいいです,0.00926342980555888
が良くない,0.00719887781107468
がいいと,0.0071403348620586
は悪いです,0.00694838166374912
はいいですね,0.00691548642722386
が高い,0.00691040134218682
にありません,0.00678466848666519
も良いので,0.00672647010511119
の高い,0.00668046490118189
が悪いので,0.00666304945417101
のとれた,0.00661391434845326
が良くて,0.0062907870712312
は感じです,0.00618236771845905
は最高です,0.00565520547225786
も良好です,0.00562600048813693
がよいです,0.00562461445415674
は抜群です,0.00560459662472967
も良いし,0.00559953978065673
が感じます,0.00554009394861434
もありません,0.005535571425618
もいい,0.0053779966360651
を考えれば,0.00512912672253409
はよいです,0.00512139397869966
がいいですね,0.00486488307077584
はします,0.00470778146488248
も満足しています,0.0046467023201181
は方だと,0.00463029056309087
は良いのですが,0.00444639514582885
が悪いのが,0.00432071489552372
は良いですね,0.00418713598756921
はありませんが,0.00410269061735739
もなく,0.00394044123862513
になります,0.00393033792539145
が悪いのと,0.00390205030050499
には満足しています,0.00386938068182909
は悪くないと,0.00375737278034555
はありますが,0.00372086020338277
は思いますが,0.00369960849786827
は悪くないです,0.00366653199993776
はよいと,0.0036538732514728
は満足しています,0.00357998706720816
はいい,0.00353581202402356
もいいですね,0.00345709780241706
という点では,0.00344199596128416
がいまいち,0.00340473643555304
に優れた,0.0034047100278079
がイマイチ,0.00339920216866205
は気に入っています,0.00338205985390807
がありません,0.00337094732416218
が悪いという,0.003330430363946
が良いとは,0.00328035925740135
で決めました,0.00321919674885082
も悪くなく,0.00313171471390136
がよいと,0.00308283477784485
も高く,0.00307897633348712
に満足しています,0.00307232131716178
があります,0.00307221292006222
はあります,0.003067561017364
がよいので,0.00301430159259282
も思います,0.00300894077088295
が悪かったので,0.00299377678811352
も良くて,0.00294494912250525
にありますが,0.00291711508824829
も悪い,0.00289828534394149
がよければ,0.00289214709687651
は悪い,0.00289092269850291
は落ちますが,0.00289092059028854
は最高,0.00287782514804806
は満足です,0.00283953344034672
をする,0.00281212958309272
は感じます,0.00280689515096883
にある,0.00278483819870885
を考えて,0.00277026230502238
はあり,0.00268418095708863
が良くなりました,0.00265317836059778
は感じません,0.00265283559444688
は良いようです,0.00263602183710573
で満足しています,0.00262411749836489
はよく,0.00260922767552019
も良いですし,0.00260675267503271
も含めて,0.00258659116020555
も良いですね,0.00257154967231312
がよくない,0.00256818034396041
といい,0.00251360875618428
は十分です,0.00249642104178423
があり,0.00247333651778563
が悪いような,0.00245961797357471
もあります,0.00243549123581913
もよい,0.00240418317198079
もよいです,0.00239432043682578
の悪い,0.0023744531787358
はよい,0.00237049724282365
が悪いのは,0.00236239577186117
もいいですし,0.00235523802384602
は最悪です,0.0023392296993653
が高く,0.00233381497861596
が高いです,0.00228328410519335
もありますが,0.00226998387709615
も十分です,0.00226140534279933
は文句なしです,0.00225429230067539
が良いという,0.00222649301098661
をします,0.00222363576270653
は問題なし,0.00221906563745347
にあり,0.00221282399834369
はしました,0.00220127495782061
は感じました,0.00218198471210347
を重視して,0.00218121888671686
はものです,0.00216262528591688
が短い,0.00216219737962534
は良くなく,0.00215920678512256
は良いとは,0.00214770995856506
は高いです,0.00211537960572316
は劣りますが,0.00209785098602204
もいいし,0.00207858597108903
も秀逸です,0.00207779699607854
がなります,0.00205332267476303
は高いと,0.00200480160468953
が感じられた,0.00199386585366293
は悪いですが,0.00199280325140572
も気に入っています,0.00198734967589406
はない,0.00198012668934137
が違う,0.00196592071646934
が好きです,0.00196076996178819
を求める,0.00195943979172874
については思います,0.00195645739166718
は良いので,0.00195481224322981
は悪くない,0.00194096055332441
がなる,0.00192433843812978
が劣る,0.00192067543679428
はいいし,0.00188874458360298
も良好,0.00188794076927981
はところです,0.00184267956636283
はそこそこですが,0.00182872309527362
は充分です,0.00182399169529881
はほうだと,0.00182386297227739
はすばらしい,0.00181325931284371
は良いですが,0.00180069831130367
はわかりません,0.00179631603499569
が悪くなる,0.00178777999104945
を上げて,0.00177734642764364
も良いのですが,0.00176460671160213
もいいと,0.00175395183180763
はしますが,0.00174995743437528
がします,0.00174526027514303
が取れた,0.00174050377590875
が良いように,0.0017386145177875
はいいのですが,0.00173714643826971
もいいので,0.00172784124699025
がよくなった,0.00171525695065399
がすばらしい,0.00171168108773795
は感じますが,0.00170095030427558
も十分,0.00170018802152777
もある,0.00169308748901041
はないと,0.00169159593580854
が良いのか,0.00168931938928459
が良くないので,0.00168780290442911
にあります,0.001685755873341
にはあります,0.0016808815876571
は文句なし,0.00164961294382888
は十分で,0.00164336382386982
でありません,0.00163581742416265
も上々,0.00162181733655031
をして,0.0016102007173403
も言う,0.00159367369015725
は優秀です,0.00159262809984092
も悪くないと,0.00159101237519121
は最高だと,0.00158125185366685
に感じる,0.00158072524749312
は優れています,0.00157639146955117
を考えたら,0.00157025791559667
も上々です,0.00155992735706247
が悪くなります,0.00155461782066826
が高いので,0.00154849295784448
は抜群で,0.00154732745536487
がある,0.00154350731598145
は十分だと,0.00153923182864562
はよくないです,0.00153540710402553
は及びませんが,0.0015350696722849
はすばらしいです,0.00153073826329365
が悪いですが,0.00152199010375566
が良かったです,0.00151932064619668
にあるので,0.00151763323164373
はなく,0.00151541700310197
も抜群です,0.00150602806182757
も抜群,0.00149113036018778
が早い,0.00147543142793312
が悪すぎです,0.00147309834062422
は良くないと,0.00146330056069276
が好みです,0.00145640382061337
はありませんでした,0.00145225624873322
は好きです,0.0014430405530347
になり,0.00144191412638558
が良くなります,0.00143993981127506
は十分,0.00143877055516376
があれば,0.00142475302551044
が違います,0.001421394298445
が悪くなるのは,0.00141502773646978
はないです,0.00141241303274362
