result,評価項目,評価表現,評判情報
"",バランス,が悪い,カメラは、左手側が重く、バランスが悪い
"",バランス,の良い,コンパクトな機体に、バランスの良い性能、動画撮りに対する認識が変わる一品です。
"",バランス,が悪い,・HDズーム、ISO感度、画質の3点のバランスが非常に悪い。
"",バランス,のよい,コンパクトで軽い割りには、画質(そこそこ)良し、バッテリー長持ち、操作性よし、撮影モードも多彩、動画もよしと非常にバランスのよいカメラとだと思います。
"",バランス,がありません,というのもしようレンズの口径にもよるのですが比較的大きなレンズ(手持ちのものでは77と82サイズ)だとバランスがよくありません。
"",バランス,の取れた,でもこのモデル、後処理の必要が無いくらい、バランスの取れた色のJpeg画像を出してきます。
"",バランス,が悪い,手持ちでのバランスが悪い。
"",バランス,の良い,"詰めの甘さは感じますが,手軽に写真を残すという程度なら全体的にバランスの良いカメラだと思います。"
"",バランス,はします,HDDモデルやDVDモデルも出ていますが、バランスは一番良い気がします。
"",バランス,を考えれば,明るさに関しても、テレ側が暗いと言われていますが、撮像素子のサイズと価格とのバランスを考えれば贅沢はいえないレベル、それにISOの懐の広さでフォローできると感じています。
"",バランス,が良く,値段と描写のバランスが良く、非常に満足度が高いです。
"",バランス,がいいです,画質的には絵づくりも含めてバランスがいいです。
"",バランス,のとれた,広角や手振れ補正はなく3倍ズームですが、高画素、デザイン、タッチパネルは秀逸でありとてもバランスのとれた機械であるので、これ以上のものは当分でないでしょう
"",バランス,も良いと,発売後1年以上たち、価格も安くなっていますし機能、速度、携帯性などのバランスも非常に良いと思います。
"",バランス,も良く,留-100に装着した感じもバランスも良く、レンズの外観もしっかりしている感じに見えますワイド端さえ気にならなければ、価格の割には良いのでは?と思います。
"",バランス,も良いです,ぼけ具合も奇麗ですし、留100に装着した際のバランスも良いです。
"",バランス,がいいです,画質は絵づくりも含めてとてもバランスがいいです。
"",バランス,を考えれば,正直、大満足とはいきませんが、価格と性能とのバランスを考えれば十分満足できると思います。
"",バランス,が良いです,肩からぶら下げているときにバランスが良いです．
