result,評価項目,評価表現,評判情報
"",画質,の悪い,画質の悪いカメラで、500枚撮れてもうれしくないですから。
"",画質,は良いと,動画機能は操作も非常に簡単ですし，コンパクトデジカメとしての画質は良いと思います．
"",画質,が良いので,画質はそこそこですが、携帯性と動画の画質が良いので購入しました。
"",画質,はそこそこですが,画質はそこそこですが、携帯性と動画の画質が良いので購入しました。
"",画質,が悪いので,デジタルズームって画質が悪いので嫌いです。
"",画質,を求める,特に画質を求める方は絶対に他の機種を求めるべきです。
"",画質,も満足できる,画質も普段の撮影では満足できるレベル。
"",画質,はありません,画質は(製品が古いこともあり)正直あまりよくありません。
"",画質,はレベルです,とにかく携帯性重視ならこれがいいと思いますが、画質はそれなりのものをただ撮りましたといったレベルです。
"",画質,も良くて,もちろん画質も良くてよかったです。
"",画質,が違う,今、1位のフジフィルムのエビちゃんがCMしているのとは、画質が全然違う。
"",画質,もありません,基本性能である画質も問題ありません。
"",画質,はなる,したがって、HDズームの画質は光学ズームの画質に比べかなり落ちたものになる。
"",画質,が落ちる,画質が落ちる
"",画質,は感じます,パンフレット上では前機種EXZ600とほとんど変わらないのですが、画質は格段に上がったように感じます。
"",画質,がいいです,色々と言われていますが、このクラスではとても画質がいいです。
"",画質,がいい,今発売されている屈曲光学系では、最も明るいレンズを使っていることも、画質がいい一因でしょう。
"",画質,はいいです,当然一眼レフ等と比べたら劣りますが、色々な機種を同条件で撮影した映像を比較した結果、屈曲光学系というグループの中では画質はとてもいいです。
"",画質,はありません,冨士のカメラと比べると画質は良くありません。
"",画質,は思いますが,画質は，光量が十分ある日中屋外であれば特に問題無いと思いますが，室内，曇天等それ以外は，少しノイジーに感じます。
"",画質,を求める,画質を求める人には不十分かもしれませんが、素人のぼくが楽しむ分にはほとんど文句無く良いです。
"",画質,といい,液晶といい画質といい多彩な機能と使っていて楽しいデジカメだと思います。
"",画質,はします,画質はフジやソニーに比べ少しボヤけてる感じがします。
"",画質,は悪い,単刀直入にいうと画質は悪い
"",画質,も満足できる,圧縮している割には画質も満足できるレベルです。
"",画質,は悪いです,いつもキャノンのデジタル一眼レフを使っているのですが、それと比てしまうからなのか、S880の画質は悪いです。
"",画質,も綺麗で,画質も綺麗で場面によりいろんなシーン設定ができてなかなかいいです。
"",画質,は良いと,画質は、製品価格を考えると、非常に良いと思います。
"",画質,が悪いという,他の方が画質が悪いという評価されているのが理解できません。
"",画質,はものです,画質は、私的には十分満足いくものです。
"",画質,が良い,他の方のレビューの評価が悪いのが気になっていましたが、画質がもっと良い機種が他にあるという高いレベルの話なのだろうと、割り切れるレベルです。
"",画質,になる,今のところは+2でもおかしな画質になることはないようなのでこれなら長く使っていけそうです。
"",画質,は思います,画質は、普段使いには十分綺麗だと思います。
"",画質,はよいです,ただし、画質はすごくよいです。
"",画質,はありません,画質は文句ありません。
"",画質,もいい,肩肘はらずに普通に使えて、画質もいいカメラです。
"",画質,が良い,良い点は、軽い、晴天下の画質が良い、ダイヤルで撮影条件設定ができるので設定忘れをしにくい。
"",画質,で満足しています,使ってみた感想は、ちょうど良いサイズと、手にしっくりくるグリップ、価格以上の画質で非常に満足しています。
"",画質,は思います,画質は、エントリークラスにありがちなケバケバしさはなく、エントリークラスにしては落ち着いた色合いだと思います。
"",画質,はものです,画質は、購入前にメーカーサイトや皆さんがアップされている画を見てイメージしていた通り大変満足なものです。
"",画質,は良いと,画質は、とても良いと感じます。
"",画質,は悪くないと,・通常感度での画質はこの手のカメラとしては悪くないと思います。
"",画質,も綺麗で,画質もこの価格帯であれば十分綺麗で、標準ズームとしては、お勧めできる1本だと思います。
"",画質,は感じました,ISO80で撮った画質はF40fd(ISO100)より綺麗か同等と感じました。
